,103N,108N,111N,115N,117N,120N,123N,125N,129N,132N,136N,139N,140N,101N,107N,110N,116N,119N,128N,131N,114N,135N,106N,122N,124N,130N,138N,109N,118N,127N,134N,137N,113N,121N,104N,133N,112N,126N
084150_1..N02R::1404446400.0,-3,5,11,12,7,14,-4,6,17,8,3,2,11,81,18,5,9,-4,24,-7,10,-10,-25,18,1,28,-15,8,-3,46,-6,-25,4,20,-1,1,15,16
084950_1..N02R::1404446400.0,18,-5,-36,-7,10,20,-4,5,-21,3,-12,2,11,73,-3,-3,19,22,15,-41,18,12,12,-8,3,-3,-10,-38,-3,37,-12,54,-7,-4,13,-4,6,14
085750_1..N02R::1404446400.0,-6,22,-60,-36,8,-4,4,2,16,80,-17,18,11,31,-7,-10,2,18,33,-4,-3,5,17,-6,3,6,-29,-5,-5,44,-1,-24,0,0,-60,9,20,13
086550_1..N02R::1404446400.0,2,6,-24,-8,1,22,-2,1,-1,79,4,14,11,48,0,3,-106,-24,12,15,0,-9,-11,23,0,-12,-35,-18,16,57,5,-37,11,-9,-4,12,-3,8
087350_1..N02R::1404446400.0,-2,11,16,-10,14,16,23,10,19,11,-15,7,11,53,12,12,1,-5,1,1,15,12,1,13,-13,10,-8,16,3,20,-9,59,-10,18,-2,-1,9,-10
088150_1..N02R::1404446400.0,-5,-4,12,-4,-2,8,27,-4,11,96,-13,12,11,49,1,2,10,14,-69,-6,-5,12,19,5,-5,0,-30,3,-12,27,-13,-28,-5,8,-8,-4,9,-25
088950_1..N02R::1404446400.0,7,4,10,0,1,6,9,15,8,52,-16,0,-19,48,7,8,-15,15,-2,-2,-6,-17,-24,6,14,-1,-10,12,-4,55,-57,82,3,10,11,6,14,-35
089750_1..N02R::1404446400.0,8,7,-10,6,13,42,13,9,12,52,-9,4,-49,52,-17,-13,1,-7,2,-6,6,-9,9,10,6,1,-40,-10,-1,56,-1,71,12,15,10,10,20,21
090550_1..N02R::1404446400.0,-11,-10,13,-15,9,0,1,1,1,49,-11,0,-49,65,-4,-13,-1,14,24,-9,10,-20,13,-2,4,-1,-17,-6,-6,42,-7,75,-11,2,15,5,11,11
091350_1..N02R::1404446400.0,4,4,4,6,3,-7,29,22,14,6,22,-14,-19,52,10,4,-10,9,11,-6,8,8,7,16,-6,4,-28,10,-10,38,13,69,12,-8,13,-6,-4,2
092150_1..N02R::1404446400.0,59,-13,-4,-6,0,-4,0,18,1,84,-4,-8,-19,60,1,2,-36,-7,-2,-1,5,2,5,6,-6,-15,-11,-15,9,-1,-13,89,-15,-12,-12,2,10,-12
092950_1..N02R::1404446400.0,-10,17,-2,-2,-7,30,-27,-17,1,106,-13,8,11,47,-10,-7,10,2,23,10,-3,-13,10,-5,-1,-15,-33,-6,9,14,-7,-29,2,0,14,2,20,32
093750_1..N02R::1404446400.0,-59,4,0,1,-11,30,17,1,-13,51,-68,8,11,42,-17,-4,11,0,9,-3,1,-8,5,-12,7,-24,-32,3,12,39,1,65,6,-3,14,9,-5,19
094550_1..N02R::1404446400.0,-9,-4,21,56,11,3,-6,16,-6,125,-3,-1,-19,50,4,-13,4,18,-9,1,11,-6,8,-3,18,13,-13,-6,-11,27,6,75,-14,3,16,-64,34,-10
095350_1..N02R::1404446400.0,-13,-4,-14,29,-15,8,27,17,-5,47,-10,-14,-19,67,4,-10,6,-3,-9,-3,10,-14,2,6,-10,11,-23,-1,2,14,-2,54,-13,13,11,9,8,-3
096150_1..N02R::1404446400.0,-7,-12,-9,8,11,10,27,-3,-8,-7,-1,19,-49,49,-7,-9,-5,-7,7,11,11,-5,19,17,-2,16,-30,-5,0,30,2,119,14,13,-7,11,23,9
096950_1..N02R::1404446400.0,-2,15,26,21,1,21,24,7,4,114,13,9,11,58,11,16,14,18,11,8,8,5,1,-1,-1,0,-16,-9,22,33,4,-22,13,-1,0,12,-5,21
097750_1..N02R::1404446400.0,-4,-10,-9,-17,7,-5,24,21,-1,125,-17,-7,11,55,-7,-10,0,-15,20,-8,20,3,16,-37,-11,2,-24,-3,-5,40,12,-27,4,-6,-10,-8,17,2
098550_1..N02R::1404446400.0,6,-2,8,-11,-9,17,23,12,6,65,-10,11,11,78,-13,6,11,3,8,-18,-8,-17,0,13,4,-9,-34,10,7,4,-6,-9,-6,-11,1,6,3,-5
099350_1..N02R::1404446400.0,14,-36,-11,133,8,16,7,-1,-8,-19,8,-4,11,66,7,-8,-4,6,13,-27,10,3,-1,7,2,-19,-41,0,-9,14,-16,53,-10,14,7,-5,11,3
100150_1..N02R::1404446400.0,20,-7,20,-2,-7,8,3,6,-9,31,17,0,11,50,-5,-17,11,16,13,5,-10,13,19,22,2,8,-46,-11,10,39,-11,-24,1,18,22,-3,15,16
100950_1..N02R::1404446400.0,-8,11,21,15,-8,18,38,8,6,78,6,6,11,44,1,14,8,5,-12,-6,10,-2,15,19,2,-4,-8,-11,12,14,5,-36,14,-8,-11,9,20,22
101750_1..N02R::1404446400.0,-1,0,-3,-6,-17,4,2,6,5,34,13,-7,-19,62,3,-4,1,-11,21,-2,-4,8,-6,-27,3,7,-17,1,-2,39,17,79,5,4,-4,-6,-5,18
102550_1..N02R::1404446400.0,-14,-5,-10,77,-12,-4,42,-8,-12,63,-12,-10,-19,53,3,-9,11,-17,10,-9,11,-12,9,-15,5,2,-1,0,0,4,-1,48,-3,-6,11,-16,10,-2
103350_1..N02R::1404446400.0,7,2,12,77,13,7,7,2,4,12,-17,-4,-19,50,4,11,4,-7,-4,-7,10,5,3,6,5,-1,-19,12,1,23,-8,68,-9,11,5,1,4,11
104150_1..N02R::1404446400.0,-9,-8,-9,-1,-9,50,-7,-10,9,53,-12,-82,-19,49,-2,-8,10,-1,27,-9,-3,-14,-10,22,-3,1,-24,-3,6,16,-36,58,-4,-13,22,10,13,-2
104950_1..N02R::1404446400.0,14,-3,-9,84,13,8,-5,3,6,116,-17,-10,11,49,8,-4,6,-14,0,-2,11,4,6,-8,13,-1,-52,5,-1,27,-5,-16,-10,1,11,6,9,11
105750_1..N02R::1404446400.0,19,6,13,17,-9,23,2,0,20,15,-10,-7,-19,59,12,16,10,-1,5,2,-11,-19,8,-4,3,6,-22,-9,7,16,-7,59,21,-4,-14,3,5,18
106550_1..N02R::1404446400.0,-4,18,1,-4,-2,11,23,12,15,-7,9,12,-199,25,17,-4,14,24,27,10,-10,-8,2,-13,-4,9,-21,-3,21,22,7,216,21,21,-1,15,2,-4
107350_1..N02R::1404446400.0,45,-15,11,117,10,-3,21,10,-8,13,-9,1,-109,67,-17,12,3,14,12,2,7,-11,7,19,11,7,-8,-13,-4,33,-1,136,12,-8,16,-4,1,15
108150_1..N02R::1404446400.0,-11,-1,-2,87,17,-3,0,25,-13,24,12,-4,-19,68,10,0,9,18,11,-1,-1,9,-25,-5,-5,11,-10,-1,0,12,-12,89,-26,-5,12,28,-4,0
108950_1..N02R::1404446400.0,14,4,16,10,-34,7,8,3,1,5,15,6,11,56,-3,10,10,16,20,-8,5,3,13,-9,23,-5,-16,14,16,29,-2,-20,-1,25,16,2,13,16
109750_1..N02R::1404446400.0,-5,-13,9,9,-4,-3,-37,-5,14,100,15,-12,11,56,-7,13,-13,7,30,-5,13,11,16,-7,-58,3,-27,-11,14,24,-14,-25,-15,-1,-12,-4,4,9
110550_1..N02R::1404446400.0,4,8,-10,130,-1,-13,0,13,-8,60,-10,3,-49,64,-8,-2,-7,8,12,-4,15,-10,12,0,-14,5,-33,6,14,16,3,111,23,13,-6,-16,9,-70
111350_1..N02R::1404446400.0,2,9,19,63,1,-4,7,0,6,-21,-9,-13,-19,68,10,14,-13,12,-5,-4,8,-21,2,-4,4,-1,-22,15,19,23,-9,59,9,-2,4,0,17,8
112150_1..N02R::1404446400.0,6,9,16,11,17,22,0,14,-2,49,-12,-12,-19,64,13,13,3,3,12,9,10,-14,9,24,7,-13,-25,-14,7,36,-74,65,-33,9,2,4,278,3
112950_1..N02R::1404446400.0,5,4,-5,932,-12,0,13,-3,-9,62,-6,-15,-19,67,0,-2,12,-5,16,-5,11,-7,-8,14,4,6,-28,9,6,12,5,67,-8,-6,-2,-13,-14,4
113750_1..N02R::1404446400.0,15,7,-4,-8,-2,109,14,15,-4,0,-10,6,11,73,-3,20,12,14,10,-12,20,3,13,-24,15,-7,-11,18,20,27,13,-7,14,7,15,-10,-3,1
114550_1..N02R::1404446400.0,,,,,,,3,22,-14,60,-15,5,-19,,,,,,8,-6,,-13,,,61,1,-5,,,37,-2,47,,,,-18,,7
115350_1..N02R::1404446400.0,6,7,-16,27,14,11,15,4,2,7,-13,12,-19,51,-2,8,-12,-12,0,9,-15,-22,-11,29,12,-8,-3,12,10,31,-4,53,-9,1,-6,36,5,-20
116150_1..N02R::1404446400.0,7,5,3,108,12,3,6,7,-4,109,-6,-5,-19,46,7,2,2,-8,-13,-14,8,-10,-2,1,5,-8,-17,8,-1,8,0,-23,21,6,-26,7,-3,13
116950_1..N02R::1404446400.0,11,-12,19,14,-8,16,22,20,4,3,-2,0,11,53,8,6,6,2,5,18,6,23,16,13,-10,-11,-26,7,7,21,-8,-7,10,16,12,-4,17,3
117750_1..N02R::1404446400.0,-1,5,17,14,14,14,40,10,-13,28,0,-7,11,58,-5,13,5,-5,10,3,4,-2,3,26,5,-8,-20,18,3,19,7,-20,-24,6,0,18,-13,20
118550_1..N02R::1404446400.0,26,24,7,15,-35,-7,23,68,4,82,3,16,11,70,14,2,10,8,25,-13,14,-10,-5,18,2,-6,-29,7,-18,45,1,-11,18,-8,-4,11,4,22
119350_1..N02R::1404446400.0,24,15,12,84,-3,5,-4,11,-15,57,-7,6,11,45,-6,15,20,-5,10,1,14,19,18,-4,-12,7,-6,-10,10,36,-1,57,19,-26,-6,12,4,16
120150_1..N02R::1404446400.0,13,18,6,54,8,2,0,-2,-10,12,-11,-12,-19,72,-7,5,-5,18,10,2,8,-13,8,-2,-2,-7,-20,6,-6,25,-5,55,-9,3,9,4,2,9
114550_1..N::1404446400.0,1,,42,401,8,43,37,,,,,,,64,,,-1,11,,,,,19,,,,,,-35,,,,,,-7,,6,
120950_1..N02R::1404446400.0,11,3,-14,100,8,16,-5,12,-7,80,-5,-12,-19,52,-17,-9,4,4,17,-4,9,-3,-11,-2,-8,13,-26,2,-9,13,-18,49,1,8,0,-36,2,35
121750_1..N02R::1404446400.0,15,15,-3,16,20,21,-3,0,10,22,10,-59,-19,53,9,-7,4,7,27,2,12,2,18,-6,-2,1,-50,-5,8,108,7,-26,14,0,17,14,-7,11
122550_1..N02R::1404446400.0,-1,4,-2,42,11,6,3,-4,-4,46,-22,-4,-19,65,8,2,0,22,-11,-12,-26,0,4,0,2,-2,-15,-21,-4,18,-8,75,9,5,3,5,-6,6
123350_1..N02R::1404446400.0,2,7,14,8,15,17,30,23,8,84,-1,0,11,74,4,10,5,-50,-4,-7,5,-10,-7,-10,-7,0,-11,13,-2,22,4,-17,4,-1,0,13,14,2
124150_1..N02R::1404446400.0,-4,12,6,64,-5,12,1,20,-6,56,-7,10,-19,65,-12,9,14,-4,12,-10,10,-5,19,2,-59,20,-31,-12,13,14,7,51,13,8,-10,-13,-2,6
124950_1..N02R::1404446400.0,-59,10,3,105,8,-11,-13,-9,-14,61,-9,-11,-19,71,-11,3,-8,12,-16,-8,-15,-8,9,-8,3,18,-19,13,-10,-8,3,65,1,4,17,-15,-6,0
125750_1..N02R::1404446400.0,22,11,2,24,5,25,12,11,8,9,-9,11,11,48,10,-53,18,19,-36,-5,19,-16,-2,7,9,2,-32,-9,-5,-1,-9,49,-4,1,-5,-38,0,-7
126550_1..N02R::1404446400.0,2,-12,-2,15,4,3,11,19,-7,6,-8,-6,131,53,14,-7,20,16,7,14,-14,-23,3,1,16,15,-18,-5,-8,28,-8,-20,20,5,3,-3,-7,-1
127350_1..N02R::1404446400.0,6,-13,9,78,-8,5,-5,10,-25,98,2,10,11,66,12,-16,15,-42,11,-4,0,0,-4,-9,-10,5,-29,-5,3,6,12,-44,-23,2,3,-7,-2,-12
128150_1..N02R::1404446400.0,-11,-5,-7,16,11,205,10,-4,-13,82,-7,-8,-19,44,-8,-4,2,-12,11,-4,-12,-17,13,-20,3,8,-23,2,0,13,-2,71,4,-8,19,8,-14,4
128950_1..N02R::1404446400.0,25,16,12,5,-7,25,-6,22,4,103,13,-13,11,45,-9,-15,14,6,-6,-12,5,9,18,16,-7,-16,-22,-9,15,-8,-11,-27,14,-7,-9,0,4,-1
129750_1..N02R::1404446400.0,-5,10,-12,53,1,-2,3,-7,-10,56,-5,-14,-19,20,-16,-14,16,11,15,-1,3,-5,-14,-2,-3,9,-24,-9,-13,16,5,68,-6,3,-58,17,11,3
130550_1..N02R::1404446400.0,-6,-37,2,15,10,50,16,6,8,5,-11,-13,-19,66,3,1,-2,-8,18,-8,14,10,-9,12,8,-1,-23,3,2,20,-11,73,11,-12,-6,-6,-1,16
131350_1..N02R::1404446400.0,11,10,11,-6,20,12,23,-4,1,16,11,18,-19,56,0,10,5,1,18,-3,-6,1,12,14,-3,-2,-29,14,10,59,4,14,21,16,11,9,5,11
132150_1..N02R::1404446400.0,-4,8,-8,-5,-41,12,20,0,7,47,0,22,11,57,-13,-1,10,-11,-4,-4,1,0,10,11,-3,-2,-2,8,-25,30,4,-8,-10,20,-12,12,11,22
132950_1..N02R::1404446400.0,10,0,3,5,11,44,22,24,-3,15,9,64,-19,52,5,4,-2,11,10,-11,6,1,-25,12,20,-11,-12,5,9,320,9,-8,7,17,-25,15,-6,5
133750_1..N02R::1404446400.0,16,-13,0,0,7,36,24,12,-16,14,11,54,11,47,-14,-37,19,-2,22,20,-3,-37,6,14,-2,13,-16,-22,-3,32,1,7,3,11,15,28,-9,11
134550_1..N02R::1404446400.0,-1,7,-4,-18,-29,10,39,57,8,20,-2,36,-79,63,-1,22,6,-9,47,15,-21,5,8,17,21,16,-32,17,28,45,-17,111,-16,19,7,38,-11,25
135350_1..N02R::1404446400.0,166,18,4,25,3,2,21,38,16,30,-16,44,41,40,17,3,19,14,4,4,21,9,25,6,-11,10,-13,4,-11,48,15,-27,-58,-26,22,18,6,21
136150_1..N02R::1404446400.0,37,-8,-1,8,19,4,28,-1,9,50,2,19,11,53,-6,-6,0,22,22,19,20,21,17,11,-3,17,-15,-2,-11,64,18,11,13,-20,14,20,-6,14
136950_1..N02R::1404446400.0,-3,3,8,13,15,28,12,-9,-1,54,-4,26,11,59,4,8,2,6,17,-10,11,-15,-2,1,8,-21,-30,9,2,54,-6,-2,16,2,-1,27,2,-18
137750_1..N02R::1404446400.0,2,-11,0,5,15,44,14,13,7,71,-8,16,-19,42,1,7,5,7,19,-39,6,-12,8,4,4,-17,-4,-12,17,39,-7,52,-10,8,-7,0,-13,-9
134900_1..N02R::1404446400.0,13,0,-3,12,10,21,16,12,5,14,-14,-26,41,54,2,16,-24,2,23,13,-24,4,12,-2,4,-18,-15,17,-3,25,11,0,-22,2,7,13,-1,16
138550_1..N02R::1404446400.0,,10,15,12,-3,33,3,9,8,47,-8,18,-19,,-13,-16,12,10,20,-7,10,13,,-3,7,-1,,-11,16,34,8,-20,60,5,,13,14,-7
139350_1..N02R::1404446400.0,,,,8,-3,15,21,24,14,14,9,15,11,,,,10,23,27,17,0,-13,,4,15,14,-5,,18,65,26,-7,-5,29,,42,,21
140150_1..N02R::1404446400.0,,,,-90,-1,19,26,16,-8,-7,-10,2,41,,,,16,-8,13,9,,4,,13,-1,12,-13,,28,33,16,-19,,-9,,21,,-1
140950_1..N02R::1404446400.0,,,,,,-86,24,7,8,14,3,17,11,,,,,,29,2,,-4,,14,-2,1,-2,,,37,0,-34,,-10,,5,,28
138150_1..N02R::1404446400.0,36,-5,-3,4,-1,-2,7,-7,28,-27,-28,3,11,-14,2,-3,-14,8,32,16,-10,-4,2,-5,-5,-11,-22,3,-14,24,-4,26,2,-2,3,1,-7,13
141750_1..N02R::1404446400.0,,,,,,,,-106,5,144,-2,-1,11,,,,,,-2,-18,,-2,,,,-6,-42,,,27,9,-18,,,,18,,2
142550_1..N02R::1404446400.0,,,,,,,,,,94,-6,6,11,,,,,,,-8,,-18,,,,-52,-37,,,,-10,-18,,,,-3,,
143350_1..N02R::1404446400.0,,,,,,,,,,,-74,-56,-19,,,,,,,,,,,,,,-13,,,,,48,,,,,,
144100_1..N02R::1404446400.0,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,
145700_1..N02R::1404446400.0,,,,,,,,,,,,,-1039,,,,,,,,,,,,,,,,,,,,,,,,,
146500_1..N02R::1404446400.0,,,,,,,,,,,,,-1519,,,,,,,,,,,,,,,,,,,,,,,,,
147300_1..N02R::1404446400.0,,,,,,,,,,,,,-1999,,,,,,,,,,,,,,,,,,,,,,,,,
144100_1..N02R::1404532800.0,-3,-14,18,7,15,18,2,9,10,86,12,-12,-79,18,-6,14,1,3,-6,-2,7,5,-8,-6,3,2,-23,-3,7,26,15,-20,-1,-6,-4,19,16,22
144900_1..N02R::1404532800.0,7,-27,-37,102,10,-5,19,11,4,2,-3,-85,-559,74,-25,5,0,15,0,17,12,-15,-7,16,10,-9,-18,8,-4,33,-7,54,-2,-7,-35,4,-10,19
145700_1..N02R::1404532800.0,-3,14,16,0,-13,28,6,6,5,11,18,-10,-1039,47,8,-12,9,13,20,-5,-1,0,24,-6,11,-3,-25,-5,9,39,14,-16,-4,3,-59,20,11,21
146500_1..N02R::1404532800.0,16,-38,-1,7,27,13,-1,20,10,33,14,7,-1519,66,-10,4,4,36,1,29,6,-2,5,-31,-6,17,-1,8,-8,26,11,-18,11,23,13,7,-7,-2
147300_1..N02R::1404532800.0,12,15,15,9,7,8,-2,14,-6,14,-15,-12,-1999,51,-9,-63,-1,15,17,1,14,-17,13,-6,-6,-20,-21,-8,-9,10,-6,68,-12,3,8,4,6,-38
138550_1..N02R::1404532800.0,11,11,14,7,16,24,28,18,-10,103,-15,-71,11,64,14,17,-1,-10,13,-1,4,-18,-22,16,3,8,-12,-9,-1,23,-10,-29,14,-7,-20,-1,28,3
139350_1..N02R::1404532800.0,15,2,11,105,-8,-3,22,8,13,96,0,15,41,52,-5,-61,-12,-8,6,-6,9,-8,33,14,13,0,-5,16,6,10,6,-2,13,-9,-7,-10,5,15
140150_1..N02R::1404532800.0,23,0,4,0,-20,17,29,10,7,75,-5,12,-19,74,-34,4,-4,-3,-5,-4,23,-11,15,-12,3,2,-2,9,-1,13,-5,-6,16,-8,-10,4,1,-4
140950_1..N02R::1404532800.0,11,-5,9,-6,4,19,14,6,7,102,-5,3,11,43,-10,5,-106,2,22,-10,-4,-15,8,-21,6,-5,-16,4,2,66,-4,-18,-2,14,12,6,-21,23
141750_1..N02R::1404532800.0,-4,-17,17,-6,-15,3,4,23,11,-9,-12,7,-19,39,-11,11,7,-10,5,-21,-5,-11,9,-29,-2,-28,-28,17,1,28,2,62,0,3,-12,73,20,-31
142550_1..N02R::1404532800.0,16,6,19,13,20,32,1,-4,4,85,-4,2,-19,67,6,16,7,8,-11,-38,8,-9,16,-3,1,-6,-21,18,11,21,-35,31,18,1,18,-19,18,-26
143350_1..N02R::1404532800.0,4,5,7,0,1,26,-3,17,4,34,4,-18,11,57,12,9,20,1,-74,-7,18,-14,5,-9,-11,-9,-28,11,-7,21,-8,-13,-10,0,4,-6,2,0
138150_1..N02R::1404532800.0,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
148100_1..N02R::1404532800.0,27,-1,0,-9,18,104,-6,13,-8,-34,-13,-2,11,78,1,4,4,-12,12,10,-6,3,20,-9,-11,14,-9,7,12,45,-15,-17,3,24,-5,7,-7,-24
149000_1..N02R::1404532800.0,37,6,-3,17,-1,23,33,17,15,-5,-11,-15,11,59,20,-6,11,49,2,-25,11,8,25,16,8,6,-57,-3,22,18,13,16,14,16,9,16,-6,0
150100_1..N02R::1404532800.0,16,1,0,9,26,10,30,25,31,17,-15,5,-19,56,1,-6,4,47,27,-4,25,7,9,20,13,-6,,19,19,34,8,10,16,21,27,13,16,22
007450_1..N02R::1404532800.0,-5,13,-36,14,6,19,15,11,12,12,5,2,41,60,-14,6,-2,34,-9,-1,-11,6,-21,3,13,6,-37,-15,-13,17,-69,40,-7,-17,-13,0,-13,17
009450_1..N02R::1404532800.0,-4,5,2,-4,11,-37,-5,51,-14,70,-20,-1,-19,52,-15,3,21,-13,7,-11,0,-23,3,194,-12,2,-10,10,-4,33,-11,-7,8,-2,3,4,-4,12
011450_1..N02R::1404532800.0,166,-7,8,12,4,15,23,-5,11,59,-6,-4,-19,50,3,-14,-3,7,2,-47,-15,-13,-1,5,-6,-5,-10,-4,-14,6,3,55,3,12,9,-15,-1,-1
013450_1..N02R::1404532800.0,23,14,-4,9,6,17,-1,11,4,0,12,-68,11,50,12,-5,-9,16,-7,-16,6,7,-29,24,4,-10,-26,-4,-7,15,-15,1,24,-10,-7,-5,-73,-6
015450_1..N02R::1404532800.0,-2,-10,-15,-31,-4,-11,12,7,-11,62,9,5,-19,41,-5,-9,15,2,11,-3,-5,8,19,15,11,-16,-5,-2,11,9,15,-11,-36,-10,-7,-10,11,15
017450_1..N02R::1404532800.0,6,-6,15,8,16,,16,21,28,11,-75,-3,11,62,-4,11,1,6,4,21,0,13,9,227,293,-23,-22,7,11,84,14,8,7,,8,17,12,3
019450_1..N02R::1404532800.0,-7,2,-5,52,16,-12,4,12,6,64,1,16,-19,40,-20,-1,5,14,0,-4,11,-8,12,5,-7,3,-42,-23,-2,32,10,-17,-4,15,-63,-9,14,16
021450_1..N02R::1404532800.0,-1,-2,-2,8,-28,18,16,12,8,116,-3,-10,-19,67,-26,-1,-12,-25,30,-8,12,-3,-7,7,9,-4,-20,4,-15,12,8,11,17,-15,-36,18,-3,-12
023450_1..N02R::1404532800.0,15,-2,-11,84,-16,13,-10,-2,-13,53,-6,5,11,39,4,-11,-19,8,9,-5,11,-45,-1,-27,-20,-23,-30,0,-34,4,3,4,-14,8,8,-16,6,-30
025450_1..N02R::1404532800.0,0,-11,15,8,1,4,15,12,7,-16,-70,-4,-49,48,-1,9,-11,473,1,-22,6,197,-10,-12,4,-14,-8,-15,14,2,-69,-3,15,1,-3,-5,4,-13
027450_1..N02R::1404532800.0,-3,7,-7,10,0,14,-8,3,9,-3,-13,4,-19,60,-12,-2,-9,9,2,-16,-15,-14,14,-4,-18,-5,-6,6,10,29,-3,62,-10,7,-9,10,12,8
029450_1..N02R::1404532800.0,8,15,3,-18,-19,7,-9,21,5,12,-4,-2,-19,51,-15,4,-36,-12,22,-5,-2,-17,-1,14,-64,-27,-10,6,-3,24,-2,17,13,10,4,6,-1,12
031450_1..N02R::1404532800.0,24,-3,7,124,-14,9,-15,-16,,97,-8,-9,-19,40,6,-15,11,5,-18,-37,10,-14,6,-7,-3,8,-19,-3,-6,19,5,16,-2,3,-14,-10,-6,-63
033450_1..N02R::1404532800.0,16,-21,13,16,23,26,11,14,5,16,-5,1,11,40,4,3,6,16,20,-3,11,16,23,7,8,-3,-18,-4,17,14,18,13,15,4,-9,22,14,4
035450_1..N02R::1404532800.0,14,-1,-9,-10,11,12,6,-4,4,55,16,4,-19,68,2,-37,5,-15,-1,26,-5,-16,-2,2,4,-14,-34,5,-8,21,-3,-4,-36,11,5,35,15,5
036900_1..N02R::1404532800.0,19,8,9,55,9,13,3,-10,9,78,-10,-16,-19,49,-14,7,3,5,1,0,14,-23,11,-27,-38,5,-25,10,-8,2,-7,4,-11,12,17,3,6,-4
038400_1..N02R::1404532800.0,-6,-12,3,67,-4,-3,14,0,-14,79,-18,11,-19,61,-13,8,-14,-7,9,-2,-17,-20,9,-17,9,7,-31,-11,7,13,-60,-6,-1,-5,-13,3,-5,4
039800_1..N02R::1404532800.0,8,-5,-36,51,12,-7,38,-11,-14,8,-6,-80,-19,73,1,-34,4,12,10,-2,-6,-5,-5,13,-2,-1,-28,-2,-5,13,8,60,-1,-9,3,-9,-6,-6
041000_1..N02R::1404532800.0,2,-3,0,0,-29,-16,8,0,-17,67,9,0,11,42,2,-1,20,1,4,-8,2,7,-7,10,5,-1,-9,4,13,32,15,-9,6,12,0,-6,-8,6
042100_1..N02R::1404532800.0,3,10,-4,8,-6,6,12,2,-9,120,-2,10,11,38,1,2,-13,-8,-13,-5,-15,-1,19,-12,-27,7,-27,9,6,48,10,-18,-7,0,-6,-7,20,43
043100_1..N02R::1404532800.0,-55,-7,0,15,14,16,17,13,6,-24,-11,6,-19,63,0,0,0,-9,-7,-11,-11,-16,-8,12,-13,-19,-12,1,2,24,-11,54,6,-9,-6,-58,2,-8
044100_1..N02R::1404532800.0,-24,-14,0,110,2,-2,2,12,-6,68,-6,-53,-19,37,-2,1,-3,-7,-10,-3,9,-8,-34,9,-8,9,-5,-17,10,21,5,60,-5,-10,-38,-9,-12,12
044950_1..N02R::1404532800.0,-15,4,-18,169,-5,-8,-10,-4,-18,125,-20,1,-19,40,-64,-10,-103,-9,8,-19,5,-21,-7,-3,-22,-2,-32,4,11,20,2,-29,10,-17,7,-10,2,-4
045750_1..N02R::1404532800.0,7,-16,1,136,3,5,15,-5,-1,-18,7,-7,-19,45,-8,5,-101,2,-8,7,11,6,-9,-34,0,-13,-21,-14,-16,55,-16,78,-2,0,1,-3,-5,-3
046550_1..N02R::1404532800.0,20,-2,-4,53,-17,1,-5,14,-11,50,-18,-2,-19,67,-3,-4,4,16,11,-3,4,-17,10,-9,-13,4,-10,2,-4,31,-7,47,-6,-1,16,6,15,-11
047350_1..N02R::1404532800.0,13,10,11,56,16,-7,29,1,5,58,-20,-5,11,41,-12,15,6,-13,-12,8,-6,4,8,16,-17,21,-9,-12,2,26,-4,58,11,-10,11,9,1,-25
048150_1..N02R::1404532800.0,,33,-10,-9,-8,14,0,-10,30,63,12,18,41,,-11,-10,9,5,-17,-48,-9,7,-87,27,-4,18,-28,19,12,13,12,-27,1,14,,-12,17,-5
048950_1..N02R::1404532800.0,,,-112,3,13,12,24,25,33,76,-9,-15,11,,,,-4,-11,17,15,4,-13,,10,19,17,-37,,-2,38,-38,-19,28,15,,4,-2,12
049750_1..N02R::1404532800.0,,,,-27,-6,22,20,8,25,105,-8,-4,-19,,,,-15,-1,6,-12,,-19,,16,-15,0,-18,,11,3,-5,-20,,-8,,6,,14
050550_1..N02R::1404532800.0,,,,,,,-1,25,38,74,15,-1,11,,,,,,44,-5,,6,,24,-7,25,-25,,,18,4,-23,,-9,,8,,10
051350_1..N02R::1404532800.0,,,,,,,,,57,4,-1,-12,-19,,,,,,4,-2,,-10,,,,10,-24,,,37,4,94,,,,-13,,2
052150_1..N02R::1404532800.0,,,,,,,,,,88,3,34,-19,,,,,,,-2,,-1,,,,-44,-28,,,,7,-17,,,,-17,,
052950_1..N02R::1404532800.0,,,,,,,,,,,-68,-1,-19,70,,,,,,,,,,,,,-42,,,,,75,,,,,,
053750_1..N02R::1404532800.0,13,0,,,,,,,,,,,-109,56,-5,,,,,,,,-2,,,,,,,,,,,,11,,,
054550_1..N02R::1404532800.0,-5,8,3,,,,,,,,,,-589,54,-3,1,,,,,,,17,,,,,5,,,,,,,-11,,14,
055350_1..N02R::1404532800.0,1,6,0,112,,,,,,,,,-1069,70,-3,-3,3,,,,-4,,19,,,,,4,,,,,3,,-7,,-6,
056150_1..N02R::1404532800.0,11,2,4,195,-2,-7,,,,,,,-1549,15,-15,-19,-6,-10,,,-19,,-11,,,,,-6,6,,,,-4,-17,0,,-4,
056950_1..N02R::1404532800.0,17,10,-12,-9,-4,13,10,-2,,,,,,62,-1,-8,16,2,,,-9,,14,4,5,,,-3,13,33,,,-3,10,16,,14,6
057750_1..N02R::1404532800.0,-11,24,18,65,6,28,26,14,-13,30,,,,47,-4,-12,-6,14,5,4,4,,20,-7,-13,6,,-7,-9,32,,,4,-2,18,-7,13,19
