,604N,608N,614N,613N,621N,625N,631N,632N,636N,640N,630N,638N,603N,624N,635N,639N,619N,637N,607N,623N,602N,634N,629N,601N,606N,618N,622N,633N,617N,612N,616N,626N,611N,615N,610N,609N,628N,627N
067000_6..N01R::1404619200.0,13,-128,4,7,7,16,20,12,-2,41,-2,9,6,4,31,8,28,-3,11,12,-12,3,-1,61,-22,12,20,-7,-4,5,-3,18,-1,8,16,19,23,-5
067700_6..N01R::1404619200.0,-6,-154,-2,12,116,2,34,-1,-4,-19,-2,-5,23,0,6,12,-1,16,20,11,-27,14,-1,48,-22,-3,-3,6,15,-1,16,0,-9,-1,12,-12,1,7
068400_6..N01R::1404619200.0,-2,83,-8,14,-24,5,30,-11,11,-19,-8,7,0,0,86,-6,98,7,-5,-12,-37,-4,-54,55,-12,10,7,-7,-6,2,4,2,4,-7,0,13,-8,3
069100_6..N01R::1404619200.0,16,-133,-8,36,32,12,30,22,5,-19,19,4,16,7,105,-6,-4,-1,5,-13,,-17,14,29,-22,-6,4,3,9,-4,11,13,14,-3,3,10,-14,20
069800_6..N01R::1404619200.0,11,-137,-10,6,77,16,12,4,9,-19,7,-21,66,-9,83,-3,17,2,3,4,-15,-9,11,19,-26,-14,-8,13,3,-9,7,14,16,-6,7,13,8,16
070500_6..N01R::1404619200.0,1,-175,8,46,15,8,37,5,20,-19,-7,-1,-28,4,60,-7,-2,18,-6,15,-14,-78,21,67,-14,-2,27,12,16,-5,-6,10,-81,11,-12,-4,15,20
071200_6..N01R::1404619200.0,,,-35,-36,-21,8,33,7,5,53,24,-1,,6,44,30,18,14,,16,,2,17,,,14,21,18,16,,-21,23,,16,,,7,5
071900_6..N01R::1404619200.0,-2,-136,10,10,-1,4,26,-4,-2,-19,14,5,24,17,69,-4,-6,-4,2,-11,-14,-10,15,64,-13,-9,3,9,6,-6,6,5,15,16,3,6,12,16
072600_6..N01R::1404619200.0,-6,-154,-8,66,2,20,52,16,-9,11,11,-5,-1,-9,61,15,12,18,17,3,-23,-4,14,73,-22,11,16,-10,-30,-10,-20,17,-9,-5,13,20,13,-92
073300_6..N01R::1404619200.0,5,-146,0,7,26,-5,14,-19,8,71,16,-6,4,-10,41,21,22,9,18,-34,-20,-2,4,72,-21,-12,11,-10,0,18,0,-25,4,7,-4,0,-9,24
074000_6..N01R::1404619200.0,-51,-145,7,28,30,17,61,20,-15,11,4,-3,4,15,18,16,20,16,24,-4,-22,-11,-1,52,-21,15,8,12,-1,11,4,20,4,-10,-11,-1,-2,-34
074700_6..N01R::1404619200.0,4,-237,-1,47,-5,9,-18,0,8,11,-26,-38,3,11,39,-11,-4,13,9,-6,-24,-17,1,56,-25,-10,9,5,6,-6,-10,16,-12,7,10,-32,-4,-4
075400_6..N01R::1404619200.0,-11,-150,-16,27,9,-7,17,3,-61,-19,16,-10,-4,16,35,6,5,14,24,-5,-23,-4,16,54,,1,9,13,-11,-2,0,2,-5,-14,-14,-6,6,7
076100_6..N01R::1404619200.0,10,-167,9,19,29,33,26,-10,-6,-49,10,5,14,14,25,-22,9,-8,8,-1,-29,-3,10,54,-20,10,8,-7,-2,4,-13,5,5,8,-16,-1,4,14
076800_6..N01R::1404619200.0,-5,57,-14,1,8,20,26,16,2,-19,6,7,-2,-14,71,-3,19,0,-6,-37,-18,-4,6,68,-17,15,-16,-10,-9,-16,3,3,9,-10,5,-16,3,8
077500_6..N01R::1404619200.0,13,-134,-11,27,-15,18,19,19,-12,-19,10,-6,34,-1,57,15,13,16,27,10,-9,9,10,52,-20,10,18,-4,-9,23,18,-6,0,-3,13,15,-1,2
078200_6..N01R::1404619200.0,-8,-136,-2,6,20,11,-9,20,16,11,24,-1,15,3,22,-6,22,12,31,8,-17,19,19,47,-24,17,-19,6,0,19,-5,19,11,7,24,15,11,5
078900_6..N01R::1404619200.0,-16,73,-9,8,89,-85,25,-8,7,-19,13,7,-13,-6,76,-4,12,3,-2,3,-23,-4,16,57,-25,10,-5,-7,-3,-2,6,-8,-6,-9,-11,1,-12,-4
071200_6..N::1404619200.0,1,-141,,371,,,,,,,,,28,,,,,,21,,-36,,,63,-10,,,,,,,,,,,,,
079600_6..N01R::1404619200.0,17,-150,17,11,23,6,29,16,19,41,14,-8,16,6,21,20,22,13,19,18,-11,14,27,53,-24,17,0,0,1,-3,17,13,11,-4,-6,-4,21,23
080300_6..N01R::1404619200.0,21,-125,-5,23,-4,-2,30,19,-25,25,14,-7,12,-4,32,22,20,15,0,5,-14,19,30,46,-21,10,4,0,-9,-31,-8,8,-14,5,8,-31,9,8
081000_6..N01R::1404619200.0,16,-138,14,8,11,-1,21,24,10,11,-1,19,8,-4,15,-20,1,10,22,6,-37,16,-1,24,-22,-3,18,3,13,-4,10,21,20,-8,9,8,-5,-2
081700_6..N01R::1404619200.0,-7,-150,-22,17,22,6,25,22,27,11,-1,27,-9,16,45,3,-22,5,19,21,-28,0,-1,51,-14,-1,2,13,5,-2,6,12,17,15,-4,-3,-4,24
082400_6..N01R::1404619200.0,-13,-23,-1,10,22,21,24,20,16,-19,1,-5,-10,-8,54,19,-3,19,11,8,-22,10,-3,260,-26,-9,-4,-1,-23,-3,-15,-7,-3,2,-12,-4,-6,0
083100_6..N01R::1404619200.0,0,56,-7,7,6,-6,7,1,-2,-19,4,6,29,-3,71,1,-24,-2,19,1,-32,-10,3,19,-13,3,17,10,18,-1,17,-1,-3,-1,17,23,-1,-26
083800_6..N01R::1404619200.0,-4,-152,-8,5,8,5,43,16,6,41,30,10,14,0,37,-1,19,2,16,7,-15,1,17,28,-15,-12,-8,-7,5,-7,-1,15,-8,13,14,-11,13,-10
084500_6..N01R::1404619200.0,12,-244,7,22,6,7,17,-16,15,-19,0,-6,14,12,54,17,44,12,11,-6,-35,-4,29,51,-20,9,12,-45,-4,11,-3,9,10,12,4,11,15,18
085200_6..N01R::1404619200.0,14,-134,5,20,13,11,21,8,-10,-19,26,0,46,14,63,-10,62,20,4,-3,76,-8,21,67,-27,9,13,13,-7,30,-3,9,11,11,2,9,13,18
085900_6..N01R::1404619200.0,-9,-147,-46,-1,24,11,27,25,25,-19,17,11,16,-6,28,6,15,-36,19,1,-28,21,6,57,-22,11,11,4,-10,10,-9,18,2,1,-7,-2,-5,-3
086600_6..N01R::1404619200.0,-6,-135,-3,11,28,11,13,11,19,11,36,-6,27,6,23,23,-2,16,30,-8,-34,-3,18,59,-22,-3,3,-13,13,-3,17,16,11,0,3,9,48,-4
087300_6..N01R::1404619200.0,,,32,-99,35,11,63,16,23,44,6,25,,5,45,2,29,2,,4,,19,-12,,,12,31,3,-5,,17,35,,22,,,19,6
088000_6..N01R::1404619200.0,-2,-150,17,8,8,16,2,-4,20,-19,-11,0,4,9,90,23,16,19,16,8,,14,21,56,,-3,8,4,24,-8,13,4,17,23,8,-13,0,10
088700_6..N01R::1404619200.0,-9,-128,5,-23,22,-3,36,14,3,33,2,72,14,180,43,19,15,6,28,4,-35,5,25,48,-19,8,11,-38,-7,15,11,13,4,17,-9,19,14,-1
089400_6..N01R::1404619200.0,20,-132,16,18,12,11,20,10,4,-49,6,21,18,23,480,21,4,7,26,-3,-13,0,27,64,-24,-15,29,-12,-3,21,-52,20,-24,1,-9,21,7,6
090100_6..N01R::1404619200.0,-12,-157,11,10,19,-9,,,41,-49,6,0,6,-8,232,-6,-24,13,-10,4,-3,275,0,51,-23,-17,7,,-34,14,-5,-7,8,5,-3,-5,-7,1
090800_6..N01R::1404619200.0,-8,-144,-20,27,15,1,56,19,22,-19,17,16,-3,6,46,20,21,28,29,12,-27,8,12,50,-24,17,-7,-3,-2,5,-32,8,-3,-14,-8,-3,-6,26
091500_6..N01R::1404619200.0,0,-141,1,14,14,10,22,16,9,11,4,20,0,-5,36,20,15,8,1,8,-22,5,28,61,-13,10,21,-5,-6,30,-9,11,7,7,-3,3,18,22
092200_6..N01R::1404619200.0,0,-148,-1,15,12,16,121,-7,-2,-19,7,3,2,5,33,-5,-1,-6,-5,15,-12,11,-38,54,-15,-3,33,3,10,-2,-11,16,-7,2,-13,-5,-4,2
092900_6..N01R::1404619200.0,17,-160,-19,1,-4,15,30,25,23,11,18,8,9,6,26,12,8,21,12,-9,-13,-11,14,31,-19,4,5,9,-13,12,-4,22,10,-14,6,16,4,7
093600_6..N01R::1404619200.0,-45,58,-2,11,9,-4,29,19,12,-19,10,-9,21,-5,17,16,8,-19,24,6,-36,12,8,47,-28,3,21,-26,15,-1,16,1,-5,1,16,-8,1,8
094300_6..N01R::1404619200.0,,,,,13,17,50,17,14,41,11,8,,7,54,7,-6,21,,10,,-1,20,,,16,19,12,371,,,8,,,,,24,5
095000_6..N01R::1404619200.0,26,-124,2,-25,16,-2,31,-6,8,11,-6,14,19,19,13,13,10,4,125,-5,-34,11,-5,69,-24,-7,9,1,-4,19,-6,2,15,9,7,-13,-2,6
095700_6..N01R::1404619200.0,13,-153,-14,28,9,1,15,15,5,-19,8,23,7,-2,40,16,7,6,14,11,-36,6,3,49,-17,6,17,-7,19,3,-8,-9,-2,6,18,-7,22,4
087300_6..N::1404619200.0,24,-103,,80,,,,,,,,,-16,,,,,,,,-24,,,69,,,,,,,,,,,,,,
096400_6..N01R::1404619200.0,-7,-158,2,20,21,-5,49,16,-7,-19,18,5,-4,-8,34,-7,9,-11,-12,8,4,-4,14,41,-18,9,-6,-9,1,3,-20,12,2,1,0,14,12,20
097100_6..N01R::1404619200.0,9,-151,6,16,18,2,55,-42,0,-19,9,3,13,-7,37,-7,-2,-7,-7,7,-31,11,6,60,-33,-1,22,3,-11,1,-11,27,19,6,8,-10,-21,24
097800_6..N01R::1404619200.0,-24,-149,10,-4,4,6,27,-2,4,-19,-1,14,12,-1,39,8,4,-24,-4,12,-31,8,2,12,-28,4,0,3,-8,16,-5,17,-15,12,9,-9,-6,15
098500_6..N01R::1404619200.0,8,-133,7,22,57,2,48,20,-7,-19,1,1,12,5,38,-5,-3,-9,6,-9,-29,6,-5,53,-21,-3,9,-3,14,12,-8,18,7,10,0,7,-7,29
099200_6..N01R::1404619200.0,-12,-149,8,16,22,11,13,12,-1,-49,15,17,20,1,29,12,8,5,20,15,-27,-5,14,42,-28,9,3,-11,-3,0,-47,10,-2,12,-12,-28,1,19
099900_6..N01R::1404619200.0,4,-144,-1,9,-1,25,17,15,4,11,11,19,27,-10,14,17,7,3,19,-1,-12,11,33,49,-9,-5,8,-1,5,23,-2,21,14,-21,1,3,18,40
100600_6..N01R::1404619200.0,-2,-137,-1,69,34,7,34,19,6,41,29,17,-5,-3,34,7,21,6,21,7,-23,13,21,58,-21,-15,19,-1,-8,17,-12,5,12,5,-2,6,-1,2
101300_6..N01R::1404619200.0,,,,,,,,,,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094300_6..N::1404619200.0,0,-132,,-3,,,,,,,,,-6,,,,,,30,,-24,,,60,-23,,,,,9,,,-37,,-14,-11,,
102000_6..N01R::1404619200.0,,,,,54,29,44,-8,13,-109,24,24,,13,32,18,12,24,,13,,-75,36,,,-3,15,9,431,,,71,,,,,28,34
102700_6..N01R::1404619200.0,17,-50,2,17,4,29,32,2,0,11,28,-6,11,-5,15,18,3,-19,12,1,-33,-16,15,50,-28,0,12,7,54,2,-16,89,-2,0,-38,3,19,16
103400_6..N01R::1404619200.0,11,-143,-20,-8,18,-3,27,23,15,-19,11,0,10,10,47,-5,-3,15,-7,17,-34,-22,2,72,-34,8,26,-37,238,-3,-1,-3,-80,14,-13,-2,-4,3
104100_6..N01R::1404619200.0,35,-41,-46,1,11,6,26,12,25,82,19,13,14,4,29,-21,8,0,31,13,-23,9,21,74,-20,1,21,-2,-14,11,-37,19,3,5,18,17,6,5
104800_6..N01R::1404619200.0,-2,-24,13,22,25,1,29,0,15,14,-6,-5,22,3,34,21,26,16,8,8,-34,-7,19,66,-13,14,15,8,18,-7,8,12,47,-8,49,2,5,-1
102350_6..N01R::1404619200.0,-7,-162,-8,60,15,8,27,18,-3,71,40,-6,-2,10,34,15,19,-17,13,4,-15,9,11,62,-25,20,-3,-4,5,10,21,29,10,-4,2,10,-6,41
105500_6..N01R::1404619200.0,-6,-5,-3,11,-25,-8,6,7,25,-19,11,5,19,11,20,-6,70,-6,-3,-35,-29,8,8,62,-18,18,7,28,0,19,-5,-6,78,3,-8,-5,1,4
106200_6..N01R::1404619200.0,-12,-27,0,17,32,8,21,17,2,11,13,12,8,14,35,6,17,0,20,-32,-17,6,6,21,-26,-15,14,-5,3,6,4,18,1,12,-8,-6,-5,-1
106900_6..N01R::1404619200.0,7,6,-9,68,-5,0,71,-38,3,-19,-20,8,12,-3,45,0,1,-1,-1,13,-13,7,-1,67,-29,2,-1,3,-9,-10,0,8,-12,-9,-14,-1,-11,22
107600_6..N01R::1404619200.0,-14,-16,-15,29,4,34,46,5,-8,-19,-6,4,16,-1,18,-2,14,20,31,3,-27,-82,23,65,-28,12,13,10,-3,10,0,12,7,-12,-1,6,42,25
108300_6..N01R::1404619200.0,2,14,-4,14,6,9,37,14,14,-19,22,5,-1,-2,18,-6,17,19,-4,4,-20,8,14,53,-19,7,17,-5,-8,-10,-7,24,11,4,1,6,3,3
109000_6..N01R::1404619200.0,-1,13,11,-36,20,17,85,23,13,11,5,-5,30,2,42,22,21,13,10,13,-32,9,1,51,-12,-17,27,1,-4,15,-36,20,16,13,6,8,-5,0
102000_6..N::1404619200.0,14,-131,,42,,,,,,,,,12,,,,,,17,,-37,,,43,-26,,,,491,-54,,,,,,,,
109700_6..N01R::1404619200.0,7,16,12,22,24,18,29,-1,-7,11,0,-3,6,8,14,-10,20,19,9,21,-24,-13,0,58,-27,14,5,7,0,-3,-25,-5,17,19,5,9,-3,3
110400_6..N01R::1404619200.0,14,0,3,13,-19,10,46,11,8,-19,17,4,9,15,40,-1,26,19,16,16,-34,7,12,55,-17,-10,-6,-7,2,16,-1,23,7,13,-5,-2,3,2
111100_6..N01R::1404619200.0,16,22,-12,1,8,10,230,0,6,-19,-2,8,15,-6,45,0,5,-3,7,5,-35,9,21,56,-28,1,16,3,14,17,9,20,15,-7,7,13,7,6
111800_6..N01R::1404619200.0,-11,65,2,15,0,-12,7,-2,2,-19,121,7,-6,15,131,-9,14,5,7,-6,-76,-14,15,17,-27,-14,12,5,7,7,11,16,8,1,9,-9,10,-8
112500_6..N01R::1404619200.0,,,,,,,,,,-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113200_6..N01R::1404619200.0,-1,21,26,29,50,27,177,16,30,-19,38,30,26,9,56,-28,20,9,6,10,-32,23,42,58,-16,8,6,1,1,27,21,31,14,24,,24,8,30
113900_6..N01R::1404619200.0,-2,18,12,24,13,-8,71,-5,13,131,12,-5,16,18,76,25,-21,13,-2,-5,-31,6,11,54,-10,6,15,-3,-6,-16,-4,-5,5,13,25,18,1,3
114700_6..N01R::1404619200.0,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115500_6..N01R::1404619200.0,,,,,,,142,44,25,11,25,-3,,,45,9,,8,,,,-7,58,,,,,6,,,,401,,,,,35,11
116300_6..N01R::1404619200.0,-9,16,0,30,16,25,34,22,6,11,7,1,-58,13,38,2,-1,15,-3,39,164,-6,24,62,-17,-2,2,9,6,7,4,15,-2,14,14,15,6,-35
117100_6..N01R::1404619200.0,13,17,4,4,13,-6,21,9,14,41,-72,15,27,22,27,-36,5,9,1,0,-33,-10,23,63,-11,18,14,14,15,22,12,-5,9,18,20,14,9,13
118100_6..N01R::1404619200.0,-4,-25,-54,28,15,13,52,13,-57,-19,-7,0,214,3,27,-8,9,-10,-16,15,-25,-1,21,68,0,38,22,-12,-20,8,7,14,-71,-11,-5,0,16,-6
119000_6..N01R::1404619200.0,-4,8,-6,-20,15,18,12,8,4,-19,0,6,-3,10,37,-1,291,19,25,-15,203,5,26,38,-21,23,25,20,-8,-45,-6,-6,17,4,8,6,8,11
116750_6..N01R::1404619200.0,-28,11,13,77,6,20,31,14,-8,11,15,-4,35,12,81,9,36,16,-29,-7,-35,-1,-18,66,-15,-4,11,-6,12,5,2,-11,1,15,-11,9,2,-1
120000_6..N01R::1404619200.0,-14,14,-5,28,47,20,-14,12,19,71,23,8,15,-2,169,0,219,24,4,4,-31,-4,278,49,-27,22,4,-12,-6,-3,-6,2,16,10,3,9,24,20
117600_6..N01R::1404619200.0,-1,-1,1,10,5,13,23,20,12,11,-2,-9,-31,-8,-10,17,13,10,-50,1,296,-22,-2,52,141,6,7,-37,-8,-7,-8,15,-14,9,7,-31,-6,-4
121200_6..N01R::1404619200.0,8,9,-1,9,27,11,173,10,34,240,27,-19,5,14,40,14,22,6,-8,15,-25,15,28,44,-17,15,17,-5,-4,-10,-2,27,9,10,-2,4,24,15
115500_6..N::1404619200.0,-1,15,-6,8,34,,,,,,,,-4,,,,6,,2,,-24,,,58,-12,16,,,-6,14,-5,,6,6,-4,5,,
122400_6..N01R::1404619200.0,,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123600_6..N01R::1404619200.0,-9,-7,-1,17,18,5,29,23,9,-19,15,5,-5,0,44,-3,17,15,13,10,-23,9,15,64,-23,-10,21,0,7,4,11,7,5,1,2,13,9,15
124800_6..N01R::1404619200.0,-9,22,-2,13,44,9,35,12,18,161,13,14,17,25,41,33,39,22,4,0,-30,6,27,47,-17,20,34,-6,-8,-6,-9,-12,-9,5,11,15,8,4
126000_6..N01R::1404619200.0,10,-6,14,19,18,5,32,-6,7,11,-7,16,10,2,65,9,16,1,15,14,-76,5,21,62,-22,13,27,-1,-2,-8,3,12,-11,-12,12,18,14,17
127200_6..N01R::1404619200.0,3,-26,-14,-7,11,11,38,4,-3,-19,39,-14,-2,16,62,9,0,2,11,23,-20,-6,20,41,-6,-1,20,12,11,-20,10,17,3,-6,-10,-5,8,2
128400_6..N01R::1404619200.0,-6,11,-13,1,15,14,40,24,28,-19,32,21,24,8,26,19,-24,4,15,17,-35,16,48,66,-22,3,25,4,17,-11,9,23,17,-3,7,8,20,9
129600_6..N01R::1404619200.0,-1,-1,-6,30,22,13,31,6,18,-19,25,13,16,4,50,18,9,20,-22,-28,-11,7,36,57,-13,-2,-24,19,9,5,1,33,23,9,6,1,-17,-1
130800_6..N01R::1404619200.0,-1,2,1,8,31,20,30,11,21,-19,12,5,3,11,21,-1,0,22,-7,-12,-73,13,-12,43,-14,-3,8,-41,15,0,-11,-3,-1,3,-6,0,3,8
132000_6..N01R::1404619200.0,-10,-8,-9,67,1,-3,72,2,2,-19,21,-27,23,-3,12,1,12,-45,-13,11,-28,11,17,69,-26,-16,0,6,3,5,7,-3,6,-65,0,12,2,9
133200_6..N01R::1404619200.0,18,9,-4,33,41,8,54,7,4,62,8,24,18,-32,62,19,-6,9,19,3,-28,-2,24,50,-28,-18,-14,18,24,8,14,18,1,-2,14,16,4,5
134400_6..N01R::1404619200.0,-2,1,9,24,11,8,19,16,10,-19,-28,20,-1,-68,48,20,16,7,18,-37,-18,11,-1,57,-23,9,18,-2,16,7,12,14,2,-5,-6,-5,24,-6
135600_6..N01R::1404619200.0,-3,12,9,-1,17,20,44,16,3,-19,19,10,23,11,39,-37,16,-38,-29,-7,-27,9,16,41,-15,-12,36,-2,3,16,4,-3,10,-9,-1,9,8,12
136800_6..N01R::1404619200.0,13,9,-15,-2,14,15,12,8,13,-19,-6,31,-19,-2,13,-5,13,9,2,11,-36,-10,24,57,-30,10,25,12,-4,7,3,16,-24,-10,-37,4,-11,-3
138100_6..N01R::1404619200.0,-9,13,-11,-35,31,15,16,22,29,-19,17,3,-8,-10,15,-3,-33,-6,3,-1,-22,11,9,20,-21,-4,12,3,9,19,10,24,14,-3,-1,5,5,7
141000_6..N01R::1404619200.0,,,,,26,-7,56,19,0,-19,15,-23,,11,37,-6,,-41,,-9,,10,11,,,,3,-1,,,,-6,,,,,-1,4
142500_6..N01R::1404619200.0,,,,,,,48,11,5,11,-60,7,,,33,-11,,2,,,,0,,,,,,22,,,,,,,,,,
144000_6..N01R::1404619200.0,,,,,,,,,,-1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000500_6..N01R::1404619200.0,,,,,,,,,,-319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002500_6..N01R::1404619200.0,,,,,,,,,,-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000500_6..N01R::1404705600.0,5,21,17,26,21,18,36,3,-1,-19,18,8,2,19,29,0,9,-4,6,-38,-74,-9,14,44,,3,2,11,18,1,12,-5,-6,-3,12,-12,7,7
002500_6..N01R::1404705600.0,10,-2,-11,26,-20,9,31,-1,13,11,26,-10,2,4,21,9,20,10,17,9,-18,-76,22,62,-17,14,20,12,-4,10,20,10,-22,-60,-45,-38,18,19
138100_6..N01R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,
139500_6..N01R::1404705600.0,15,9,,,,,,,,,,,3,,,,,,7,,-27,,,47,-18,,,,,-1,,,16,,5,10,,
141000_6..N01R::1404705600.0,-14,13,-11,6,,,,,,,,,18,,,,-6,,-1,,-30,,,45,-32,-8,,,6,11,7,,8,-7,1,5,,
142500_6..N01R::1404705600.0,10,-15,13,26,6,11,,,,,17,,15,-10,,,8,,8,5,-34,,11,42,,7,17,,-6,-26,-2,12,4,15,-4,6,10,18
148500_6..N01R::1404705600.0,17,11,17,21,29,6,38,17,20,669,17,-5,12,-3,29,15,33,18,29,7,-15,21,16,62,-28,14,12,-37,-5,3,-9,14,-4,0,-19,8,-6,-1
150000_6..N01R::1404705600.0,,,,,,,,,,-1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007800_6..N01R::1404705600.0,1,-94,10,-98,39,-1,2,16,7,71,-8,8,-2,21,38,0,19,-2,5,-2,-24,14,5,50,-14,5,78,0,17,2,-22,0,-3,-11,16,-10,-9,37
009350_6..N01R::1404705600.0,0,53,14,-119,34,-6,70,9,9,-19,4,13,3,-1,18,0,6,5,-1,13,-10,-5,-1,65,-11,8,4,17,-3,21,0,-5,14,-14,5,13,-4,-26
011250_6..N01R::1404705600.0,2,-110,12,-97,44,-12,6,17,-32,-19,14,7,-2,-58,12,-77,7,-2,30,2,-22,12,40,45,-24,-1,-11,-5,13,8,7,-10,3,-10,-4,5,-8,-37
013250_6..N01R::1404705600.0,13,-116,-13,-113,-1,4,13,7,-8,18,2,-7,-12,-4,31,11,22,13,-4,13,-26,-7,4,54,,10,0,15,0,-3,6,2,-4,-10,-12,-5,4,10
015250_6..N01R::1404705600.0,9,-96,4,-111,9,-5,16,16,3,28,12,5,30,18,27,-5,15,-4,27,-5,-29,0,16,47,-20,9,12,-9,-6,-2,-4,-9,39,-21,10,30,18,-4
017250_6..N01R::1404705600.0,2,62,-14,-114,-2,-1,24,-10,10,61,-11,7,5,-3,23,-8,20,2,-5,-21,-15,-27,24,47,-16,-16,-4,-5,-1,-2,3,-3,-3,-9,17,-7,-7,-28
019250_6..N01R::1404705600.0,-8,-113,-19,-100,94,-10,84,11,-66,-19,-11,9,-1,-7,6,-7,28,-24,5,11,-38,-14,-3,53,-20,-12,1,-17,9,10,-10,15,-16,9,11,-7,3,13
021250_6..N01R::1404705600.0,-8,-120,-4,-118,54,3,-3,17,-1,11,-6,5,24,4,32,-6,14,-6,24,-10,-32,3,-10,62,-22,0,3,-8,-11,-14,-11,0,-15,2,10,-9,-6,2
023250_6..N01R::1404705600.0,3,-105,1,-109,-8,8,25,4,-1,-19,15,7,1,5,31,2,31,0,7,-14,-21,0,14,69,-27,-59,-3,16,2,-9,-4,16,15,8,4,9,3,-36
025250_6..N01R::1404705600.0,-4,-113,-8,-110,6,8,80,20,15,-19,16,13,-3,-1,-10,0,26,7,0,12,-24,0,19,62,-18,15,2,-6,3,-7,8,21,-5,-4,-10,-2,49,21
027250_6..N01R::1404705600.0,13,-51,4,-54,12,-7,12,15,-3,-19,-3,4,14,19,39,-7,27,-6,-2,-2,-4,3,0,44,-14,-12,15,-8,1,19,-3,-6,-20,10,-2,4,-4,3
029250_6..N01R::1404705600.0,10,5,-12,-24,1,8,93,-2,19,-19,-3,-15,12,-1,29,3,21,12,-3,-15,-30,9,1,40,-32,-14,2,3,-26,-4,8,6,-6,-7,-12,-4,1,9
031050_6..N01R::1404705600.0,-24,-9,7,28,26,-16,6,-4,-3,-19,16,10,8,6,23,-2,30,-5,10,15,-11,15,16,67,-12,14,-2,-24,-1,6,9,13,0,16,19,22,-16,18
032450_6..N01R::1404705600.0,-1,2,-49,11,12,-2,63,-3,-57,-19,3,-3,-1,17,32,-12,19,-10,-9,-3,7,10,4,55,-17,-17,13,-27,4,-6,6,-4,-54,-6,15,-59,-6,1
033600_6..N01R::1404705600.0,5,-8,5,9,17,9,63,-3,4,-19,9,4,8,-1,9,-9,13,-2,14,10,-74,15,3,51,-14,9,-6,5,-4,-3,-7,5,-7,10,13,15,1,9
034800_6..N01R::1404705600.0,9,4,1,8,7,-1,14,18,22,11,14,6,1,23,19,2,8,-7,18,-1,-21,16,-27,53,-6,6,13,1,15,-4,-26,-18,16,14,2,3,-33,-4
036000_6..N01R::1404705600.0,12,-12,-36,17,22,18,32,6,-10,-19,15,-36,10,14,3,-14,9,18,15,-7,-70,-7,4,72,-20,5,5,14,-7,-33,-5,-3,19,11,8,13,21,20
037050_6..N01R::1404705600.0,-10,14,-50,0,-2,10,61,-8,-8,-19,12,-18,22,12,4,2,10,34,-2,20,-7,10,7,54,-19,-36,3,0,14,17,-15,11,14,-4,2,4,23,20
037850_6..N01R::1404705600.0,-28,3,1,31,12,7,80,8,-11,-19,31,-16,8,-30,36,0,-5,10,-6,-14,-27,-17,49,67,-29,-5,10,9,-11,8,-55,8,-19,7,6,-10,3,26
038650_6..N01R::1404705600.0,-17,7,10,-1,10,13,90,-10,13,-19,26,8,19,13,23,-5,-9,4,-26,-3,-27,-3,25,42,-22,-4,16,-7,-13,14,-7,11,-15,11,10,-6,23,25
039450_6..N01R::1404705600.0,-5,0,-8,0,6,6,51,23,7,35,29,18,20,12,36,11,13,5,17,-8,-28,-6,37,58,-28,9,6,7,21,9,89,12,5,,-7,-4,6,28
040250_6..N01R::1404705600.0,10,-9,-2,15,-1,-2,95,-6,0,-19,18,8,10,15,10,-4,2,1,16,-2,-12,17,12,61,-20,-2,10,6,12,22,-63,2,-13,-1,10,15,9,10
040950_6..N01R::1404705600.0,-24,5,-14,4,18,-4,77,6,16,-19,1,14,13,-11,29,-28,66,8,0,3,-35,-10,-2,49,-30,10,-10,13,-2,-4,6,-5,-5,-10,-14,-4,-3,4
041600_6..N01R::1404705600.0,20,-20,8,22,44,2,12,15,26,-19,40,4,5,-5,27,-5,-5,-9,-2,8,-17,1,17,63,-18,-6,19,-8,9,6,4,6,27,18,6,7,34,20
042250_6..N01R::1404705600.0,18,-78,6,19,-7,0,74,10,13,-19,10,8,8,-2,26,-3,7,5,20,9,-20,-9,4,63,-20,8,-4,-15,-4,-22,-9,1,5,6,-1,6,20,20
042800_6..N03R::1404705600.0,,8,-3,6,6,-3,70,-2,0,-19,4,-1,,21,-18,-12,16,-7,,-1,,16,23,,,12,11,6,25,15,-10,0,10,4,0,6,7,7
043200_6..N01R::1404705600.0,7,-24,1,11,24,8,56,-2,5,42,6,16,30,17,32,-23,24,29,20,-7,-71,-8,32,56,-26,17,5,12,2,17,-31,13,10,11,2,5,6,31
043650_6..N03R::1404705600.0,,16,-12,-2,-20,8,25,10,6,-19,15,12,,-36,43,0,16,-25,,9,,3,15,,,1,17,-6,18,19,-63,-6,14,-4,2,10,14,5
044100_6..N01R::1404705600.0,-5,-5,8,17,22,26,52,-5,16,-19,22,-8,19,15,25,16,11,42,9,20,-27,-11,35,67,-6,-2,1,5,126,-4,-64,19,-47,-9,-14,-8,7,18
