,231N,501N,502N,505N,219N,416N,418N,234N,235N,245N,247N,250N,503N,214N,635N,244N,213N,218N,640N,230N,243N,504N,217N,222N,631N,423N,242N,216N,241N,229N,221N,215N,228N,220N,239N,246N,629N,137N,420N,132N,626N,621N,128N,233N,127N,419N,123N,120N,227N,226N,225N,212N,211N,210N,209N,208N,207N,206N,205N,204N,257N,256N,255N,254N,253N,252N,251N,249N,248N,201N
012300_5..N32R::1404446400.0,,40,-1,-1,,,,,,,,,-23,,,,-19,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006300_5..N32R::1404446400.0,,46,7,22,,,,,,,,,-21,,,,11,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010300_5..N32R::1404446400.0,,28,-2,14,,,,,,,,,-24,,,,101,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008300_5..N32R::1404446400.0,,63,27,17,,,,,,,,,-4,,,,11,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014300_5..N32R::1404446400.0,,68,16,6,,,,,,,,,7,,,,-79,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016300_5..N32R::1404446400.0,,45,10,15,,,,,,,,,9,,,,-49,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018300_5..N32R::1404446400.0,,46,17,-26,,,,,,,,,9,,,,-49,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020300_5..N32R::1404446400.0,,46,15,13,,,,,,,,,21,,,,11,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022300_5..N32R::1404446400.0,,58,15,16,,,,,,,,,11,,,,-589,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024300_5..N32R::1404446400.0,,26,5,28,,,,,,,,,12,,,,-19,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026300_5..N32R::1404446400.0,,80,15,-3,,,,,,,,,9,,,,71,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028300_5..N32R::1404446400.0,,49,4,4,,,,,,,,,1,,,,251,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030300_5..N32R::1404446400.0,,70,10,11,,,,,,,,,9,,,,-19,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032300_5..N32R::1404446400.0,,120,13,30,,,,,,,,,18,,,,71,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034000_5..N01R::1404446400.0,,74,30,7,,,,,,,,,2,,,,11,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036000_5..N01R::1404446400.0,,50,16,-13,,,,,,,,,15,,,,-49,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038000_5..N01R::1404446400.0,,62,14,32,,,,,,,,,18,,,,-19,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040000_5..N01R::1404446400.0,,65,20,31,,,,,,,,,24,,,,41,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040900_5..N73R::1404446400.0,,46,4,-18,8,11,8,,,,,,5,-6,18,,33,-2,11,,,14,19,26,21,,,1,,,6,-15,,2,,,18,,-19,,17,21,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,
