,401N,406N,413N,621N,640N,420N,423N,235N,239N,250N,631N,405N,419N,409N,418N,635N,402N,416N,234N,629N,415N,408N,414N,407N,626N,412N,411N,410N,257N,256N,255N,254N,253N,252N,251N,249N,248N,238N,237N,236N,639N,638N,637N,636N,634N,633N,632N,630N,628N,627N,625N,624N,623N,622N
069500_4..N06R::1404705600.0,,,,,,,,,,-559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070300_4..N06R::1404705600.0,,,,,,,,,,-1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068950_4..N06R::1404705600.0,73,-5,10,20,21,20,12,20,19,-19,44,261,30,-417,3,30,290,9,-6,-7,28,-10,10,-1,-15,13,-12,4,,,,,,,,,,,,,,,,,,,,,,,,,,
068000_4..N06R::1404705600.0,73,14,18,6,7,11,,,,,5,20,5,-403,-7,32,-1,14,,10,2,11,-9,-10,63,-14,-2,-14,,,,,,,,,,,,,,,,,,,,,,,,,,
069750_4..N06R::1404705600.0,57,-2,37,20,-39,2,18,0,12,-19,9,12,-11,-386,11,-8,122,21,12,13,11,-14,38,0,19,-8,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,
070550_4..N06R::1404705600.0,54,23,9,0,33,25,30,1,26,-19,36,-2,14,-394,27,37,16,29,-7,1,46,-8,29,1,30,34,-1,7,,,,,,,,,,,,,,,,,,,,,,,,,,
072150_4..N06R::1404705600.0,,,,,,,,,,-1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072950_4..N06R::1404705600.0,63,3,3,5,-11,24,1,28,23,-19,5,-11,-22,-125,-13,6,13,20,17,13,36,-3,29,3,16,28,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,
073750_4..N06R::1404705600.0,42,9,14,14,18,0,10,22,26,11,38,20,16,-173,-9,39,11,23,-6,-5,-15,3,18,12,24,14,-8,7,,,,,,,,,,,,,,,,,,,,,,,,,,
071750_4..N06R::1404705600.0,68,-1,27,38,19,10,17,38,23,-19,18,-26,20,-118,6,72,15,5,0,5,54,0,70,-21,1,29,23,16,,,,,,,,,,,,,,,,,,,,,,,,,,
074550_4..N06R::1404705600.0,47,4,20,-8,15,15,4,17,23,-19,33,15,27,-133,2,5,-2,-6,15,-7,41,-2,32,9,12,7,28,35,,,,,,,,,,,,,,,,,,,,,,,,,,
075350_4..N06R::1404705600.0,53,26,22,18,32,2,137,15,-13,11,15,-34,-13,-119,9,4,18,1,10,-2,23,-8,20,-1,27,18,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,
076150_4..N06R::1404705600.0,47,9,2,25,-24,12,18,2,5,-19,23,15,-7,-139,-1,35,1,28,4,-6,44,13,42,17,14,34,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,
076950_4..N06R::1404705600.0,45,1,8,58,27,14,-20,29,15,-19,31,9,21,-124,-7,-3,0,19,-20,3,47,0,21,9,13,29,26,17,,,,,,,,,,,,,,,,,,,,,,,,,,
077750_4..N06R::1404705600.0,46,10,-25,25,68,55,7,-31,19,-19,34,-4,-1,-143,11,31,19,-3,-19,27,14,0,24,12,17,7,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,
078550_4..N06R::1404705600.0,60,10,8,8,10,9,2,22,-4,-19,26,-11,-3,-119,18,8,12,29,-6,1,31,2,57,15,26,29,22,17,,,,,,,,,,,,,,,,,,,,,,,,,,
079350_4..N06R::1404705600.0,66,-33,18,18,10,29,27,0,20,11,30,13,37,-145,33,10,2,-3,2,1,76,24,10,-2,20,24,-3,10,,,,,,,,,,,,,,,,,,,,,,,,,,
080150_4..N06R::1404705600.0,66,7,37,12,43,20,53,10,46,-19,27,2,-1,-108,10,35,16,10,9,21,54,12,40,13,30,47,32,25,,,,,,,,,,,,,,,,,,,,,,,,,,
080950_4..N06R::1404705600.0,54,11,15,0,24,-2,9,-34,-34,-19,24,18,-10,-133,10,0,5,9,69,15,93,10,9,18,12,-3,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,
081750_4..N06R::1404705600.0,37,19,15,10,35,23,-6,27,6,-19,24,3,33,-121,5,8,-37,15,2,9,126,21,8,-8,8,13,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,
082550_4..N06R::1404705600.0,61,41,22,30,-8,20,40,16,29,11,49,15,8,-110,21,20,1,0,67,4,80,15,41,21,27,4,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,
083350_4..N06R::1404705600.0,64,5,8,15,1,20,19,18,-2,-19,33,5,-4,-139,36,36,17,-1,21,17,20,32,34,55,16,-16,-3,12,,,,,,,,,,,,,,,,,,,,,,,,,,
084150_4..N06R::1404705600.0,49,1,55,35,18,18,11,11,39,-19,44,14,4,-137,12,18,1,12,21,-2,6,0,36,7,19,16,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,
084950_4..N06R::1404705600.0,51,7,6,31,22,30,37,-4,-89,11,37,15,27,-130,10,32,3,22,-8,1,36,2,25,11,-11,5,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,
085750_4..N06R::1404705600.0,66,27,30,28,43,7,22,11,13,11,64,33,171,-142,46,36,11,7,13,18,60,3,38,6,27,-4,-28,13,,,,,,,,,,,,,,,,,,,,,,,,,,
086550_4..N06R::1404705600.0,64,3,-8,20,11,-11,12,32,9,-19,29,-2,6,-139,-21,21,0,18,-5,-1,29,3,22,11,17,-9,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,
087350_4..N06R::1404705600.0,74,-6,27,6,28,-23,8,14,16,-109,33,1,24,-137,61,18,45,31,14,29,38,6,33,10,15,22,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
088150_4..N06R::1404705600.0,48,-15,2,17,10,29,-1,19,11,-19,11,-8,11,-96,28,13,15,16,114,5,27,-11,26,-3,26,8,14,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
088950_4..N06R::1404705600.0,36,-12,3,86,54,36,27,23,65,-19,58,26,35,-68,27,47,-10,61,27,53,55,34,22,28,38,18,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,
089750_4..N06R::1404705600.0,57,-2,18,8,27,-32,18,2,9,-19,22,3,13,-27,17,23,-8,2,15,-3,20,10,10,12,29,14,-5,8,,,,,,,,,,,,,,,,,,,,,,,,,,
090550_4..N06R::1404705600.0,46,21,4,27,20,23,2,-11,-92,11,163,3,10,136,1,-3,-4,0,-66,24,13,17,23,-4,21,11,-6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
091350_4..N06R::1404705600.0,58,-27,15,37,24,56,28,12,22,11,49,9,5,15,18,21,23,26,8,23,37,2,27,11,50,29,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,
095450_4..N06R::1404705600.0,45,10,20,36,27,9,10,20,31,-19,45,20,17,14,27,38,10,6,23,24,26,4,11,15,3,-6,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,
098450_4..N34R::1404705600.0,,,,,,,,,,-2269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091950_4..N06R::1404705600.0,,,,,,,,-217,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096100_4..N06R::1404705600.0,,,,,,,,,,-1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092950_4..N06R::1404705600.0,73,18,17,8,10,31,-4,11,49,73,45,20,13,15,1,6,9,-31,-6,-2,25,12,17,-7,-11,19,-5,14,,,,,,,,,,,,,,,,,,,,,,,,,,
093650_4..N06R::1404705600.0,51,-2,-2,48,31,19,36,34,11,-49,28,11,17,11,22,10,5,12,31,-21,44,13,18,-1,43,-32,-17,6,,,,,,,,,,,,,,,,,,,,,,,,,,
102300_4..N64R::1404705600.0,,-5,-20,40,27,24,15,3,18,-19,40,35,23,-9,44,19,,,14,2,-7,18,-3,-3,25,-12,4,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
094250_4..N06R::1404705600.0,40,8,-4,12,45,-2,21,1,26,-109,-2,-11,-14,1,22,-4,12,16,1,7,11,-1,16,13,23,-32,-18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
101350_4..N64R::1404705600.0,,,,,,,,,,3611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101900_4..N34R::1404705600.0,60,11,24,64,23,28,13,21,16,-49,61,4,16,16,39,18,20,,11,38,28,10,20,15,13,21,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,
094850_4..N06R::1404705600.0,45,6,19,34,-9,20,16,19,21,-49,33,-7,9,1,10,34,-12,15,27,10,33,-2,13,12,34,-7,6,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
098400_4..N34R::1404705600.0,40,-14,18,22,33,17,23,8,-4,41,51,26,7,20,20,10,10,,7,-4,35,15,14,-6,14,24,-1,17,,,,,,,,,,,,,,,,,,,,,,,,,,
096050_4..N06R::1404705600.0,53,16,-1,36,35,24,11,31,32,-19,21,23,10,20,19,18,3,5,17,15,23,41,28,-2,27,1,9,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
098900_4..N34R::1404705600.0,58,8,14,65,19,31,18,13,7,11,29,-70,10,4,18,7,14,,7,19,18,2,16,14,-1,17,-1,13,,,,,,,,,,,,,,,,,,,,,,,,,,
096650_4..N34R::1404705600.0,53,22,-7,48,48,16,17,32,25,-49,28,0,4,-8,14,-19,17,,26,13,18,-12,25,-5,30,-36,8,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
099400_4..N34R::1404705600.0,54,4,-1,27,8,14,-5,5,-1,71,36,-9,-2,5,14,29,12,,7,18,16,0,19,11,11,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,
099900_4..N34R::1404705600.0,66,15,18,38,35,51,26,6,17,-49,52,-36,40,13,-5,15,18,,9,10,118,11,-18,19,23,21,-8,11,,,,,,,,,,,,,,,,,,,,,,,,,,
097850_4..N34R::1404705600.0,39,21,-5,46,10,24,-22,15,27,-49,28,6,-22,-7,20,11,3,,11,19,5,20,25,-4,11,1,7,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
100350_4..N34R::1404705600.0,63,-2,-7,-1,-13,24,21,1,26,71,66,11,4,-78,30,5,9,,13,27,76,-62,13,-3,17,-2,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,
100950_4..N34R::1404705600.0,47,21,20,31,15,16,22,25,-14,11,44,24,38,4,16,53,6,,-5,26,4,-8,25,-1,19,15,-69,6,,,,,,,,,,,,,,,,,,,,,,,,,,
102700_4..N34R::1404705600.0,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103100_4..N34R::1404705600.0,45,-7,13,19,24,18,1,20,-3,-79,-17,5,22,15,58,64,5,,16,25,28,14,10,-6,29,12,-7,11,,,,,,,,,,,,,,,,,,,,,,,,,,
103500_4..N34R::1404705600.0,54,9,7,36,23,25,-10,13,21,73,26,-7,52,-83,29,26,12,,-4,16,34,7,0,12,5,14,-5,4,,,,,,,,,,,,,,,,,,,,,,,,,,
101350_4..N::1404705600.0,43,10,-68,8,32,72,-2,18,-55,54,-6,-10,-6,3,20,13,2,,-15,28,4,-1,20,12,12,4,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,
103900_4..N64R::1404705600.0,,,,,,,,,,5681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104300_4..N34R::1404705600.0,50,-8,-3,17,-78,58,-26,1,20,-139,34,2,5,14,12,25,-7,,20,-3,120,-17,17,-5,16,5,-10,9,,,,,,,,,,,,,,,,,,,,,,,,,,
104700_4..N34R::1404705600.0,,,,,,,,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105100_4..N64R::1404705600.0,,,,,,,,,-259,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105500_4..N06R::1404705600.0,47,-11,-6,26,38,49,20,-32,57,-49,51,10,17,-104,13,12,-1,6,15,18,28,14,52,-6,16,4,-11,10,,,,,,,,,,,,,,,,,,,,,,,,,,
105950_4..N43R::1404705600.0,,,,,,,,,,4451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106450_4..N06R::1404705600.0,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103900_4..N::1404705600.0,,,,,,,,,,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107100_4..N06R::1404705600.0,68,-69,-9,15,36,28,5,12,25,-289,283,16,10,-2,42,32,5,-6,19,22,141,-3,11,8,22,-2,-20,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
107700_4..N43R::1404705600.0,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108300_4..N06R::1404705600.0,43,3,0,51,-24,35,-2,-2,2,-79,30,15,21,1,45,26,13,9,18,20,5,-3,29,7,20,5,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,
105100_4..N::1404705600.0,61,-1,23,27,23,32,28,8,1,,41,16,14,5,49,37,-9,,1,39,53,-5,30,6,44,12,-10,5,,,,,,,,,,,,,,,,,,,,,,,,,,
105450_4..N02R::1404705600.0,,,,,,,,,,-122,,,,,,,,,,,,,,,,,,,-19,20,-3,19,1,1,20,,,,,,,,,,,,,,,,,,,
105950_4..N::1404705600.0,,10,72,25,18,37,12,10,32,65,41,38,12,3,27,13,,15,9,14,7,1,13,-18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109050_4..N06R::1404705600.0,71,2,-2,31,13,17,7,24,9,-319,18,5,-2,1,12,29,19,-20,0,-10,229,-3,25,4,-17,0,11,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
109500_4..N06R::1404705600.0,58,-22,-6,13,27,24,21,-23,-1,41,46,-14,4,-3,22,25,20,-7,23,13,46,-22,20,12,-2,0,11,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
105450_4..N::1404705600.0,,,,,,,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109900_4..N06R::1404705600.0,45,20,-11,3,8,29,16,-1,18,-19,41,-7,10,-87,4,14,14,13,15,-26,142,-27,2,-12,-2,-37,14,-26,,,,,,,,,,,,,,,,,,,,,,,,,,
107850_4..N02R::1404705600.0,,,,,,,,,,-9,,,,,,,,,,,,,,,,,,,2291,6,-8,10,-8,2,17,,,,,,,,,,,,,,,,,,,
110700_4..N43R::1404705600.0,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113700_4..N43R::1404705600.0,,,,,,,,,,7001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107450_4..N06R::1404705600.0,66,-12,16,28,72,16,25,0,35,-49,61,-1,-3,13,29,18,15,-17,5,28,26,12,17,18,25,12,-35,13,,,,,,,,,,,,,,,,,,,,,,,,,,
107700_4..N::1404705600.0,25,21,130,19,28,18,20,12,33,-49,32,4,-1,9,29,17,17,13,8,24,2,8,26,-11,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111500_4..N06R::1404705600.0,72,17,19,28,25,16,-19,47,1,-229,41,-7,25,16,28,14,14,12,13,0,30,-2,32,1,34,57,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,
112100_4..N06R::1404705600.0,67,19,-2,3,24,27,21,16,87,-79,51,21,39,-49,35,-23,8,6,10,16,24,-10,18,-2,-1,-3,8,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
109100_4..N06R::1404705600.0,44,6,22,8,27,16,37,23,10,71,27,-17,24,-7,31,37,12,-5,9,21,19,2,13,10,9,-9,7,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
109100_4..N34R::1404705600.0,42,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112500_4..N06R::1404705600.0,45,18,13,29,27,16,10,14,8,-79,19,-2,1,-10,22,29,-9,-6,18,-5,16,16,2,-8,14,-13,-34,-13,,,,,,,,,,,,,,,,,,,,,,,,,,
113100_4..N43R::1404705600.0,,,16,21,-8,10,28,15,45,-79,3,,-8,48,-22,23,,-21,4,13,25,,26,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113500_4..N06R::1404705600.0,56,3,4,11,10,-21,22,6,170,-19,37,11,-10,-10,3,36,3,4,-8,12,19,-8,18,3,5,15,-2,-13,,,,,,,,,,,,,,,,,,,,,,,,,,
110700_4..N::1404705600.0,43,-10,45,30,28,13,9,36,27,-19,67,33,22,34,30,44,-27,3,12,-4,51,-71,58,-42,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114100_4..N06R::1404705600.0,59,0,-6,-12,16,20,-14,10,10,-19,28,17,9,14,14,17,-22,-8,21,-7,22,-15,6,0,-4,3,-11,9,,,,,,,,,,,,,,,,,,,,,,,,,,
111700_4..N43R::1404705600.0,,,96,29,18,27,20,25,23,-139,53,,-2,12,29,18,,17,33,12,6,,22,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114750_4..N43R::1404705600.0,,,9,25,38,20,22,74,10,11,46,,0,-1,9,10,,20,52,14,17,,16,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115200_4..N06R::1404705600.0,62,16,-37,11,4,38,11,6,-3,-49,4,0,19,14,0,1,-6,21,25,0,-2,5,25,17,-4,5,-10,7,,,,,,,,,,,,,,,,,,,,,,,,,,
115850_4..N06R::1404705600.0,68,14,-14,14,26,4,18,7,28,-19,33,-3,14,2,21,-21,16,-5,3,-8,12,2,1,14,12,-4,11,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
116250_4..N06R::1404705600.0,68,0,-8,10,12,-10,-2,16,-35,-19,32,12,9,-6,50,-9,16,-1,17,12,20,-7,8,3,9,-5,6,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
112850_4..N06R::1404705600.0,63,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117050_4..N43R::1404705600.0,,,16,-9,5,6,6,12,13,-19,6,,31,37,18,8,,3,14,-10,85,,-24,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117750_4..N06R::1404705600.0,70,10,-6,20,25,2,-11,-20,-17,-109,257,12,-2,19,9,0,-8,16,-11,24,8,9,20,-15,14,-1,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,
118250_4..N06R::1404705600.0,45,-7,-7,12,29,15,25,5,18,-49,19,5,-3,22,2,28,22,16,71,21,29,18,9,0,34,-2,12,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
118850_4..N06R::1404705600.0,45,0,10,76,24,12,-2,5,25,-139,33,7,-2,2,18,23,22,29,138,23,10,-4,7,6,11,13,-6,13,,,,,,,,,,,,,,,,,,,,,,,,,,
119350_4..N06R::1404705600.0,61,-4,-11,15,18,21,-11,-2,13,41,22,9,9,-7,6,-7,-4,18,14,9,52,-12,58,-4,-3,-3,-24,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
120150_4..N06R::1404705600.0,63,10,-2,30,24,-21,25,0,11,11,31,-7,-3,22,14,17,14,80,7,479,150,0,92,11,4,-3,4,-12,,,,,,,,,,,,,,,,,,,,,,,,,,
120950_4..N06R::1404705600.0,38,2,29,109,15,14,17,13,11,-19,64,-22,3,-3,16,1,-5,133,-37,34,129,-5,1,4,7,11,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,
121550_4..N06R::1404705600.0,27,25,22,56,22,24,23,30,12,11,19,26,28,17,29,31,2,34,2,-2,21,6,34,4,18,20,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,
122350_4..N06R::1404705600.0,68,-26,-12,85,16,3,4,9,1,-109,36,20,17,0,2,11,-21,43,108,2,46,1,1,7,-23,-2,10,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
123100_4..N06R::1404705600.0,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123700_4..N06R::1404705600.0,50,10,3,276,15,11,2,20,-4,-19,26,15,2,8,19,16,3,13,46,14,23,29,-8,26,28,7,-15,5,,,,,,,,,,,,,,,,,,,,,,,,,,
121900_4..N06R::1404705600.0,,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124450_4..N06R::1404705600.0,63,6,-4,-3,15,3,19,-10,4,-19,28,10,7,17,21,7,4,5,63,19,-5,8,10,16,8,-4,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,
125150_4..N06R::1404705600.0,53,-47,5,24,59,21,-8,31,25,-19,53,-5,11,-7,30,8,13,56,0,8,16,15,-4,-3,2,2,11,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
125650_4..N06R::1404705600.0,62,-8,11,36,9,22,-2,12,11,-19,66,6,25,-11,-1,0,-8,28,14,6,10,16,2,-7,3,13,-36,17,,,,,,,,,,,,,,,,,,,,,,,,,,
122700_4..N06R::1404705600.0,56,-4,10,64,27,-5,4,-13,-7,-19,36,-22,-7,8,-8,-10,13,45,48,11,16,-17,-7,-36,13,-61,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
126600_4..N06R::1404705600.0,68,6,-23,199,20,-5,15,4,-6,-19,67,13,-11,4,-19,18,-3,28,14,-3,8,0,-6,10,25,13,-8,7,,,,,,,,,,,,,,,,,,,,,,,,,,
127450_4..N06R::1404705600.0,64,-2,-3,223,3,-17,25,5,8,-19,50,3,1,-6,20,6,18,31,49,0,10,-8,23,-1,-3,4,11,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
128400_4..N06R::1404705600.0,40,17,-2,36,18,21,24,36,15,11,40,21,20,6,0,22,16,30,-7,25,27,5,31,-14,19,0,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,
129400_4..N06R::1404705600.0,64,13,-5,13,29,-5,14,-9,18,-49,51,-37,17,13,-25,0,12,18,94,20,328,-21,-7,16,10,29,-1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
130400_4..N06R::1404705600.0,58,-1,0,15,24,4,19,20,19,-49,53,1,-8,2,11,28,16,4,14,8,-36,-4,-11,5,29,4,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,
131400_4..N06R::1404705600.0,51,-11,10,16,19,16,11,18,-6,-79,75,4,8,13,4,-10,23,-3,121,-3,22,2,-26,-13,-1,13,-3,17,,,,,,,,,,,,,,,,,,,,,,,,,,
132400_4..N06R::1404705600.0,27,19,-3,33,5,9,-2,20,9,-49,66,2,26,6,5,42,14,14,115,2,10,5,61,-12,2,7,-9,9,,,,,,,,,,,,,,,,,,,,,,,,,,
133400_4..N06R::1404705600.0,60,19,36,54,-25,-5,-1,3,7,-19,35,0,16,-69,7,-2,15,15,71,10,9,18,26,-3,0,-7,7,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
134400_4..N06R::1404705600.0,51,12,9,31,3,10,18,-6,-6,-79,35,-6,16,-226,9,12,17,8,129,20,0,12,-1,19,14,13,-1,16,,,,,,,,,,,,,,,,,,,,,,,,,,
135400_4..N06R::1404705600.0,61,1,14,24,19,25,8,9,5,-19,17,12,10,-315,2,10,1,-32,67,20,9,-4,17,5,17,18,-1,18,,,,,,,,,,,,,,,,,,,,,,,,,,
136400_4..N06R::1404705600.0,61,2,1,-4,33,30,-3,13,3,-19,16,-28,13,-445,20,0,,7,55,18,0,1,21,8,13,9,-9,11,,,,,,,,,,,,,,,,,,,,,,,,,,
137450_4..N06R::1404705600.0,49,-8,13,25,-6,12,15,3,73,-49,39,,-32,,14,2,10,6,10,-4,28,27,9,-2,15,-19,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
138400_4..N06R::1404705600.0,,,2,37,25,19,-35,-15,18,11,48,,5,-540,12,26,,-64,10,-14,52,-61,-20,,9,,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,
139400_4..N06R::1404705600.0,,,,,,,,,,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140700_4..N02R::1404705600.0,,,,,,21,-26,-4,40,16,,,12,,6,,,,-25,,,,,,,,,,41,12,-3,18,-9,1,13,-6,-6,,,,,,,,,,,,,,,,,
140700_4..N06R::1404705600.0,,,,,-22,-27,28,-2,14,76,34,,,,,-110,,,6,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142000_4..N02R::1404705600.0,,,,,,,,-131,12,-8,,,,,,,,,,,,,,,,,,,-19,6,-12,-58,-50,,-8,-86,,,,,,,,,,,,,,,,,,
140200_4..N06R::1404705600.0,,,,19,24,15,20,9,13,71,-13,,16,,4,-120,,,6,2,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143500_4..N01R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-139,-1,-15,10,,,,,,,,,,,,,,,,,,,,,,
144400_4..N01R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-259,,,,,,,,,,,,,,,,,,,,,,,,,
146100_4..N01R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1279,,,,,,,,,,,,,,,,,,,,,,,,,
144400_4..N01R::1404792000.0,27,-37,20,44,-16,17,1,5,16,7,39,0,-20,-583,3,-4,-15,20,12,15,10,15,9,-5,13,-7,3,16,-19,2,12,6,-12,-1,-9,0,19,15,-7,-13,,,,,,,,,,,,,,
146100_4..N01R::1404792000.0,63,10,0,-6,17,25,17,6,11,13,27,14,5,-548,15,16,23,23,13,6,17,15,22,-8,2,4,11,-6,11,1,9,-2,29,18,-6,-2,-9,-28,-26,-5,,,,,,,,,,,,,,
137450_4..N06R::1404792000.0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138400_4..N06R::1404792000.0,64,0,,,,,,,,,,33,,,,,39,,,,,10,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140700_4..N02R::1404792000.0,57,-71,-2,25,4,,,,,,2,-3,,-555,,-5,11,16,,-5,56,-12,10,2,1,5,-11,8,,,,,,,,,,,,,,,,,,,,,,,,,,
140700_4..N06R::1404792000.0,54,7,2,23,,,,,,,,15,,-566,,,1,29,,,15,0,21,10,8,7,-11,7,,,,,,,,,,,,,,,,,,,,,,,,,,
142000_4..N02R::1404792000.0,,,,39,26,3,3,-8,,,14,,18,,16,30,,98,7,48,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143500_4..N01R::1404792000.0,47,-17,24,70,14,12,16,8,14,6,26,-14,2,-566,7,21,0,65,33,12,38,26,32,22,70,14,22,5,,,,,-6,8,-2,-9,-1,11,21,-8,,,,,,,,,,,,,,
140200_4..N06R::1404792000.0,43,3,6,,,,,,,,,-12,,-584,,,14,22,,,42,-10,25,2,,18,-1,20,,,,,,,,,,,,,,,,,,,,,,,,,,
147850_4..N01R::1404792000.0,20,6,-9,24,-4,19,16,4,18,0,38,-67,6,-574,2,53,13,2,54,18,20,-6,12,8,6,0,14,-1,-139,-7,-12,-11,3,-13,14,-2,2,12,53,13,,,,,,,,,,,,,,
148800_4..N13R::1404792000.0,50,8,-41,21,5,-6,7,-7,25,-1,11,14,-14,-565,7,-13,5,17,16,20,42,-2,12,11,-6,4,-13,3,11,9,-2,16,-2,8,-9,-7,19,-8,7,2,11,-4,15,7,-14,11,7,-11,-89,-2,-5,-6,10,0
