,420S,250S,239S,640S,635S,626S,415S,413S,407S,402S,401S,629S,405S,423S,414S,408S,416S,406S,409S,418S,631S,621S,410S,234S,419S,411S,412S,235S,236S,237S,238S,248S,249S,251S,252S,253S,254S,257S,255S,256S,622S,623S,624S,625S,627S,628S,630S,632S,633S,634S,636S,637S,638S,639S
103950_4..S06R::1404360000.0,20139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115600_4..S06R::1404360000.0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116400_4..S06R::1404360000.0,,21,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117200_4..S06R::1404360000.0,8,10,24,,,,,,,,,,,14,,,,,,,,,,40,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
118000_4..S06R::1404360000.0,30,11,16,15,,,,,,,,,,7,,,,,,23,,,,12,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
118700_4..S06R::1404360000.0,0,9,19,24,37,,,,,,,,,16,,,,,,5,,,,22,23,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
119500_4..S06R::1404360000.0,2,18,25,4,30,7,,,,,,-5,,6,,,,,,8,72,,,18,23,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
120300_4..S06R::1404360000.0,21,-45,13,13,-14,-8,106,,,,,-9,,7,,,9,,,9,-4,38,,39,19,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
120900_4..S06R::1404360000.0,14,6,13,13,14,-9,2,12,,,,1,,20,23,,12,,,34,19,1,,325,84,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
121700_4..S06R::1404360000.0,-10,8,4,23,34,19,17,15,4,,,6,,8,26,8,5,,9,19,12,78,10,66,27,20,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,
122350_4..S06R::1404360000.0,16,10,16,-5,41,4,36,31,15,-8,,12,4,17,96,-5,10,8,-9,25,46,14,-1,29,23,17,-1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
123200_4..S06R::1404360000.0,31,287,19,17,45,18,16,23,-6,12,-19,27,17,17,6,6,14,19,-5,26,12,6,2,8,6,15,-5,31,,,,,,,,,,,,,,,,,,,,,,,,,,
124050_4..S30R::1404360000.0,13,7959,38,31,16,7,33,-26,13,18,11,22,-4,8,25,-2,-1,4,-43,30,41,51,-2,14,7,-14,-1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
124900_4..S05R::1404360000.0,25,10,10,23,25,8,24,0,6,13,11,13,1,17,30,12,14,4,25,16,33,12,17,28,-24,12,5,22,11,37,14,10,14,,,,,,,,,,,,,,,,,,,,,
125750_4..S05R::1404360000.0,2,8,-16,50,26,4,61,4,15,12,11,23,10,9,6,17,3,13,2,35,30,16,2,27,8,7,-20,21,13,-1,18,16,3,,,,,,,,,,,,,,,,,,,,,
126850_4..S05R::1404360000.0,27,11,31,6,37,-22,53,12,23,20,-19,2,-3,-1,63,0,7,14,23,20,44,10,-9,30,25,6,12,23,10,-2,-6,0,-4,,,,,,,,,,,,,,,,,,,,,
127750_4..S05R::1404360000.0,5,-51,17,5,33,-2,8,13,1,6,131,-2,14,23,-26,14,14,-7,8,11,46,-26,-12,30,0,5,16,54,6,1,4,3,4,,,,,,,,,,,,,,,,,,,,,
128750_4..S05R::1404360000.0,31,-8,14,24,46,28,61,8,19,25,221,14,5,13,15,-13,24,18,21,31,13,27,24,8,8,0,6,32,11,-3,21,-2,13,,,,,,,,,,,,,,,,,,,,,
129750_4..S05R::1404360000.0,6,,,1,13,-10,11,7,-5,19,251,-4,-2,-4,2,11,9,-15,9,18,18,5,-10,20,10,11,-3,-14,312,,,215,,,,,,,,,,,,,,,,,,,,,,
130850_4..S10R::1404360000.0,-6,,34,17,26,9,-3,-4,-16,-6,-49,14,-4,17,69,1,1,11,14,24,1,15,10,38,21,-5,3,43,4,-6,29,,,,,,,,,,,,,,,,,,,,,,,
131600_4..S05R::1404360000.0,,,,,,,,,,,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132700_4..S05R::1404360000.0,24,-88,22,7,10,0,0,3,14,-3,11,-17,14,24,56,-2,15,6,16,21,37,16,-6,30,12,14,-2,24,12,3,3,8,7,,,,,,,,,,,,,,,,,,,,,
133700_4..S01R::1404360000.0,0,-2,10,3,18,9,-8,25,16,16,41,4,-4,-116,10,0,10,17,14,3,30,66,-63,38,23,9,-10,31,-2,-77,-3,18,-15,8,11,14,-38,,,,,,,,,,,,,,,,,
134750_4..S01R::1404360000.0,-9,-209,17,26,22,22,27,13,,-9,71,8,141,28,27,-17,18,68,-6,15,35,19,-8,20,22,4,13,24,23,7,20,7,22,,,,,,,,,,,,,,,,,,,,,
131600_4..S::1404360000.0,1,18,11,-2,31,0,27,4,15,9,-19,-5,4,17,22,-3,-8,14,11,6,15,13,12,26,-6,-6,-26,84,1,-3,-2,-2,0,,,,,,,,,,,,,,,,,,,,,
135950_4..S01R::1404360000.0,25,-78,12,7,-34,-4,30,14,0,4,11,-1,14,-13,8,10,0,-9,4,11,7,-4,8,22,-71,16,22,36,-10,15,9,2,14,1,8,13,16,,,,,,,,,,,,,,,,,
137200_4..S01R::1404360000.0,8,-90,38,-5,18,13,8,-7,-1,0,-19,-26,-8,16,111,-10,2,-17,-7,-10,1,5,8,39,-13,-6,-19,33,-6,-6,0,-7,-2,-146,,,,,,,,,,,,,,,,,,,,
138400_4..S01R::1404360000.0,5,,,-4,5,-2,-23,-33,-6,7,221,-15,-1,16,-2,-12,-3,14,-4,19,22,-22,-76,6,-16,2,-9,33,,,,,,,,,,,,,,,,,,,,,,,,,,
139600_4..S01R::1404360000.0,,,,12,34,19,10,2,16,-18,-19,-11,-8,,24,1,16,7,-8,-38,43,-11,0,,,-13,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,
140800_4..S01R::1404360000.0,,,,,,24,23,-3,14,18,11,-96,-6,,17,-1,14,5,13,,,23,-9,,,10,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
130850_4..S::1404360000.0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,,,
142550_4..S01R::1404360000.0,,,,,,,,-60,12,12,-19,,-7,,,-3,,6,19,,,,-11,,,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
000400_4..S01R::1404360000.0,,,,,,,,,,,-259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133700_4..S::1404360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491,66,,,,,,,,,,,,,,,,
001400_4..S13R::1404360000.0,,,,,,,,,,,-859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134750_4..S::1404360000.0,,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,-65,13,19,,,,,,,,,,,,,,
134750_4..S::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,
000400_4..S01R::1404446400.0,25,20,19,30,33,-6,12,17,17,17,-259,-5,-3,3,1,-10,13,10,11,3,15,4,-13,-61,17,5,15,19,12,4,3,16,39,-12,-4,567,1,45,6,19,,,,,,,,,,,,,,
001400_4..S13R::1404446400.0,5,8,13,24,42,14,16,7,-37,1,-859,7,10,18,-2,12,12,-10,0,3,17,72,6,-47,8,-7,4,40,3,25,12,15,30,9,7,-16,14,52,13,-1,4,15,-4,-5,10,4,31,1,-4,-12,-21,15,-35,-9
103950_4..S06R::1404446400.0,34539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124050_4..S30R::1404446400.0,,22359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135950_4..S01R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,-9,5,,,,,,,,,,,,,,
137200_4..S01R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-3,11,-5,34,5,-34,,,,,,,,,,,,,,
138400_4..S01R::1404446400.0,,74,3,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,8,-67,-17,2,-16,-1,38,11,7,,,,,,,,,,,,,,
139600_4..S01R::1404446400.0,16,-430,10,,,,,,,,,,,-7,,,,,,21,,,,77,9,,,5,-2,-6,-38,2,3,-8,3,9,9,62,15,-2,,,,,,,,,,,,,,
140800_4..S01R::1404446400.0,2,-564,37,17,47,,,,,,,12,,15,,,,,,20,31,,,24,-3,,,17,13,7,3,9,0,20,-3,1,4,28,1,12,,,,,,,,,,,,,,
142550_4..S01R::1404446400.0,29,-564,16,19,33,10,20,19,,,,19,,26,-4,,-1,,,2,10,-6,,26,24,,,28,11,4,27,9,-13,4,11,10,-17,59,18,-25,,,,,,,,,,,,,,
003400_4..S13R::1404446400.0,0,8,0,38,21,2,12,8,-14,6,11,13,-9,24,1,2,-10,10,-4,1,17,37,6,-72,22,-6,6,31,-4,17,15,21,13,8,-12,-6,0,9,7,-4,20,-3,12,17,3,5,11,8,6,-7,-9,0,18,10
005400_4..S13R::1404446400.0,17,6,3,14,24,-2,19,2,5,-34,-19,-16,0,3,-74,-8,2,-75,-11,11,2,24,-1,-71,-25,-12,1,-18,11,8,10,-24,-22,-4,-20,-12,-3,53,6,-4,-2,-14,0,6,1,6,-9,3,2,-1,1,-12,10,6
007400_4..S13R::1404446400.0,-8,6,4,5,-15,-1,16,-12,-2,-7,71,40,-9,19,13,-10,4,-14,-8,-17,3,26,6,-57,6,-3,11,23,-13,13,17,8,9,5,11,13,11,58,12,-2,9,16,-3,7,-3,4,-8,-12,-55,12,-3,11,4,-1
009400_4..S13R::1404446400.0,6,4,3,15,14,8,8,0,-11,2,11,-7,-13,23,-76,9,13,6,5,12,14,5,-12,-69,-1,8,-6,39,6,5,10,3,5,11,-7,-33,-3,40,-33,14,21,-4,-18,17,-17,-10,-3,9,2,-6,14,-10,10,0
011400_4..S13R::1404446400.0,3,12,43,22,36,2,14,9,-30,5,11,84,-22,35,16,5,9,16,19,17,33,37,-9,-60,3,4,13,37,0,19,11,11,3,6,2,3,3,51,1,11,14,12,20,15,-3,24,16,-2,22,18,-4,-28,15,3
011500_4..S13R::1404446400.0,,,,,,,,,,,-259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013400_4..S13R::1404446400.0,2,12,16,5,-28,-4,16,18,13,-12,41,-11,-3,14,-1,1,11,1,-1,11,11,42,9,-64,-5,1,15,31,-4,19,2,24,-10,14,-9,-1,6,52,12,0,3,15,0,7,-6,0,9,-51,-52,9,2,-14,9,5
015400_4..S13R::1404446400.0,26,-6,11,11,12,3,24,-2,-5,6,11,75,-8,31,55,13,6,15,10,2,-3,85,-13,-59,14,5,-12,22,1,28,-13,47,-59,6,17,-9,23,43,-5,10,-4,-7,2,10,-26,10,15,-88,13,3,-2,9,0,-4
017400_4..S13R::1404446400.0,1,-3,5,-2,39,-9,7,18,-6,15,-19,18,-1,43,21,-20,13,13,8,6,6,22,-16,-50,,-27,16,22,-12,11,-21,-3,-1,11,-6,2,5,62,10,2,9,7,-8,-4,-5,-4,-5,-3,-9,14,6,19,3,-8
019400_4..S13R::1404446400.0,3,4,9,4,64,-1,7,13,13,-78,11,-18,8,11,66,0,50,0,-6,-6,152,49,0,-67,-10,-8,5,22,-5,-9,-8,9,4,-10,5,12,-13,45,-3,-13,3,14,-1,6,8,13,1,11,-20,6,-15,2,-43,-81
021400_4..S13R::1404446400.0,16,12,2,30,22,-70,-7,27,6,12,251,29,16,-4,5,-10,31,4,12,3,27,36,-9,-17,21,7,-10,25,-5,19,18,20,-11,18,26,17,-9,68,-2,14,2,-1,8,-23,-35,1,-8,14,12,3,12,15,4,-6
023400_4..S13R::1404446400.0,14,12,11,20,17,-12,-11,3,1,-89,161,7,4,16,-36,-10,4,-8,-9,3,24,24,1,-52,-4,-13,2,11,-11,14,-15,9,-16,-7,-15,-1,6,42,14,5,5,7,-10,-9,-7,0,-13,-8,-9,-13,-9,4,-12,-16
025400_4..S13R::1404446400.0,8,-18,23,15,25,8,25,17,1,-9,11,-27,19,-37,34,6,31,-5,1,-16,22,71,-5,-71,17,11,17,28,-7,15,-4,23,21,2,16,19,21,69,-7,6,-3,12,-6,-4,6,4,-3,13,2,15,-9,3,22,-21
027400_4..S13R::1404446400.0,-8,9,20,-25,15,-7,-1,2,3,3,71,8,5,18,24,-8,-1,-3,16,-14,22,8,-4,-65,7,17,-2,17,17,11,4,6,9,3,12,-11,-1,58,10,3,10,-12,-3,5,-4,-31,13,-8,-12,16,-17,13,5,-2
029400_4..S13R::1404446400.0,1,56,12,9,11,3,67,-10,-36,-5,41,-3,-14,3,10,5,9,9,-1,-6,23,6,11,-64,16,-28,19,20,-5,-10,-10,-10,-2,-14,4,-71,-9,60,-1,18,-1,-16,-28,8,11,-89,4,-16,-16,12,-10,5,-1,-5
031400_4..S41R::1404446400.0,-9,6,23,-14,26,12,13,-12,3,-3,161,-2,-8,-9,13,-8,-3,-11,-5,56,8,35,8,47,11,-7,-22,51,,,,,,,,,,,,,10,-2,16,-13,-11,-7,-5,10,3,0,0,-71,9,4
033250_4..S06R::1404446400.0,17,-1,14,1,15,19,21,19,-10,14,-19,9,10,17,29,4,-9,13,2,12,2,14,3,27,8,15,-65,14,,,,,,,,,,,,,,,,,,,,,,,,,,
034450_4..S06R::1404446400.0,16,1,-6,3,28,9,1,-5,14,6,-19,-7,17,14,10,-5,6,8,15,14,18,2,-10,14,6,8,-11,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
035650_4..S06R::1404446400.0,4,9,-1,19,26,18,-21,81,9,20,-19,-7,0,12,57,-8,69,-25,-16,-3,13,9,-8,4,-9,10,-7,3,,,,,,,,,,,,,,,,,,,,,,,,,,
036450_4..S06R::1404446400.0,10,-4,12,11,8,12,136,15,-14,-6,-19,1,-46,0,54,7,-6,5,11,-1,-2,-66,-61,6,-11,-13,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
037250_4..S06R::1404446400.0,13,9,17,8,9,4,11,2,-4,-49,-19,28,-1,4,-3,-15,-11,-75,-21,19,10,14,-10,17,7,-20,-5,12,,,,,,,,,,,,,,,,,,,,,,,,,,
038050_4..S06R::1404446400.0,24,-2,24,17,66,5,21,-10,12,-7,461,10,-16,12,-22,0,-2,-1,3,-7,56,21,11,21,13,2,-14,9,,,,,,,,,,,,,,,,,,,,,,,,,,
038850_4..S06R::1404446400.0,33,-63,30,11,23,13,28,-5,6,25,71,-2,-4,0,29,19,-1,2,7,10,16,-75,5,20,24,-10,-31,25,,,,,,,,,,,,,,,,,,,,,,,,,,
039650_4..S06R::1404446400.0,19,5,-6,9,7,5,10,8,-17,1,41,13,12,23,-8,2,-8,1,-3,18,38,8,8,7,7,-9,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,
040450_4..S06R::1404446400.0,10,-2,3,20,12,-3,16,16,-3,0,-49,6,13,1,7,11,9,-3,3,-8,4,-3,13,4,6,-2,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,
041250_4..S06R::1404446400.0,29,-7,38,6,33,-2,31,1,-7,11,11,2,-1,3,18,12,9,14,12,11,45,-68,-7,25,62,12,-5,23,,,,,,,,,,,,,,,,,,,,,,,,,,
042050_4..S06R::1404446400.0,30,-3,26,17,23,24,30,0,2,12,41,-3,2,9,17,17,-6,-6,12,3,14,17,17,24,21,21,-3,11,,,,,,,,,,,,,,,,,,,,,,,,,,
042850_4..S06R::1404446400.0,23,-66,39,4,24,10,-13,5,-5,17,-19,1,16,17,24,6,-16,26,-7,5,18,26,-3,30,19,7,11,19,,,,,,,,,,,,,,,,,,,,,,,,,,
043650_4..S06R::1404446400.0,16,5,8,19,25,1,17,-6,-1,-1,-19,-12,-8,12,-10,-14,1,-13,13,7,7,-94,23,183,20,-2,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,
044450_4..S06R::1404446400.0,22,0,-1,39,44,17,-3,-3,-12,18,-19,18,-3,-2,15,-2,-1,12,20,0,10,17,-5,13,17,11,-64,5,,,,,,,,,,,,,,,,,,,,,,,,,,
045250_4..S06R::1404446400.0,13,7,13,13,13,5,28,12,-7,3,-19,7,-9,0,31,11,23,-19,9,15,19,10,19,8,1,-3,9,27,,,,,,,,,,,,,,,,,,,,,,,,,,
046050_4..S06R::1404446400.0,16,-4,8,5,17,46,-2,8,-10,-9,-19,13,-14,10,3,8,14,9,11,-11,7,-78,-8,272,4,-15,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,
046850_4..S06R::1404446400.0,16,11,7,0,-9,19,23,19,21,3,-19,-5,-14,9,5,0,-4,12,-4,15,-11,17,3,61,3,-10,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,
047650_4..S06R::1404446400.0,15,6,-1,42,19,26,27,0,-5,11,-19,5,17,18,14,5,10,-3,10,-1,40,16,13,24,16,-6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
048450_4..S06R::1404446400.0,3,-47,1,25,-1,8,15,-17,3,-14,-19,-13,-1,-5,12,-7,2,-10,12,15,65,-63,-7,59,1,-17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
049250_4..S06R::1404446400.0,29,-6,13,14,38,6,14,15,-28,8,-19,3,18,-11,26,-12,14,-8,16,1,36,5,-5,144,21,6,-12,9,,,,,,,,,,,,,,,,,,,,,,,,,,
050050_4..S06R::1404446400.0,1,0,14,23,22,-5,0,22,2,-35,-19,8,16,12,-2,-14,8,-36,6,3,33,0,-12,193,-11,4,-13,22,,,,,,,,,,,,,,,,,,,,,,,,,,
050850_4..S06R::1404446400.0,277,-7,23,32,20,-9,9,10,4,20,11,7,2,0,-1,15,23,-5,4,28,178,-73,14,205,42,-2,1,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
051650_4..S06R::1404446400.0,18,4,21,326,456,11,7,-12,13,-10,11,-2,2,12,12,0,21,-2,0,17,110,15,11,15,7,3,19,-24,,,,,,,,,,,,,,,,,,,,,,,,,,
052450_4..S06R::1404446400.0,0,6,11,29,34,21,21,15,4,-3,-19,-5,14,-6,7,-8,25,-9,-8,21,128,112,4,6,-2,-4,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,
053250_4..S06R::1404446400.0,-4,8,3,18,19,16,1607,15,-4,-12,11,-17,-4,-8,8,14,3,16,0,28,3,99,9,30,9,-4,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,
054050_4..S06R::1404446400.0,,,,,,,212,15,-36,1,11,,-8,,99,4,,8,0,,,,12,,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
054850_4..S06R::1404446400.0,,,,,,,376,10,-6,5,11,,12,,297,8,,19,-2,,,,1,,,-13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
055650_4..S06R::1404446400.0,,,,73,30,22,59,14,12,12,-19,7,-3,,319,-4,-1,4,13,-118,21,-53,-10,,,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
056450_4..S06R::1404446400.0,,,,,,,,,,,-229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057250_4..S06R::1404446400.0,,,,,,,,,,,-469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058050_4..S06R::1404446400.0,,,,,,,,,,,-349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058850_4..S06R::1404446400.0,,,,,,,,,,,-739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056650_4..S06R::1404446400.0,7,0,-3,22,22,-6,24,2,-15,-17,-19,-5,9,8,-6,6,-22,3,9,1,22,-4,-12,7,-7,8,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
059650_4..S06R::1404446400.0,-2,1,8,12,17,13,7,6,6,0,-19,21,7,1,20,-7,11,-5,-11,-2,6,28,-3,50,18,-12,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,
057650_4..S06R::1404446400.0,8,5,36,17,33,14,2,21,15,-1,11,28,6,24,196,-6,22,15,11,36,39,19,11,33,11,20,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,
060450_4..S06R::1404446400.0,-5,5,14,-8,229,-11,13,3,2,-11,-19,-1,7,-6,-7,-9,-5,-10,-10,-27,22,-98,3,9,18,-18,-1,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
058650_4..S06R::1404446400.0,10,1,-3,12,23,18,-4,18,-13,10,11,17,-3,11,2,3,8,8,4,26,34,-75,9,43,3,0,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,
061250_4..S06R::1404446400.0,-3,6,7,12,12,13,-3,-1,10,-13,-19,23,9,-3,-5,2,-14,-3,7,20,164,17,-11,67,9,10,-5,14,,,,,,,,,,,,,,,,,,,,,,,,,,
058000_4..S06R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058500_4..S06R::1404446400.0,19,2,26,18,-3,12,,,,,,20,,-4,,,,,,15,-27,101,,38,20,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
062050_4..S06R::1404446400.0,15,-4,12,1,49,6,12,10,-5,11,-19,105,1,7,-1,10,-3,19,2,32,13,0,11,48,8,-8,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,
062850_4..S06R::1404446400.0,13,6,19,0,21,2,3,15,8,12,-19,15,-8,-2,0,-9,7,-1,17,-2,29,-64,-9,-16,14,7,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,
063650_4..S06R::1404446400.0,-5,10,-1,25,62,1,15,-17,-9,-18,-19,8,1,8,22,9,-9,11,2,-29,28,17,13,19,18,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,
064450_4..S06R::1404446400.0,6,-24,1,21,38,17,18,-6,-6,1,-19,19,-12,8,14,12,11,14,10,-2,53,33,-15,18,13,7,-9,5,,,,,,,,,,,,,,,,,,,,,,,,,,
065250_4..S06R::1404446400.0,20,5,25,19,45,1,19,15,13,15,-19,3,-3,-1,2,-4,-7,7,15,21,114,-72,22,9,19,5,15,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
062000_4..S13R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,22,59,16,114,,,,,,,,,,,,,,
066050_4..S06R::1404446400.0,28,3,31,24,46,15,14,5,15,18,-19,16,-1,18,22,-6,23,11,18,9,34,6,23,29,25,-1,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,
066850_4..S06R::1404446400.0,11,8,1,27,63,25,4,20,5,18,-19,28,-5,30,1,9,19,7,8,3,33,25,9,25,13,17,-6,14,,,,,,,,,,,,,,,,,,,,,,,,,,
067650_4..S06R::1404446400.0,17,-40,57,6,38,2,6,11,-2,7,41,26,-6,9,7,-43,3,-17,13,10,126,-63,-6,34,27,-15,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,
068450_4..S06R::1404446400.0,8,8,36,148,63,8,21,-5,17,-10,11,1,1,10,5,-3,-4,7,-6,31,54,18,0,39,2,16,-4,17,,,,,,,,,,,,,,,,,,,,,,,,,,
069250_4..S06R::1404446400.0,11,8,-2,24,7,13,17,-2,-9,-4,11,14,9,24,26,5,-5,17,-6,26,34,11,2,30,4,14,-5,13,,,,,,,,,,,,,,,,,,,,,,,,,,
070050_4..S06R::1404446400.0,7,-3,-1,21,28,2,6,4,2,12,251,8,0,7,-3,-10,-11,-10,-13,12,26,-74,-1,-3,0,15,-2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
070850_4..S06R::1404446400.0,25,,,20,34,20,-1,-23,-13,0,71,16,8,7,4,6,2,0,4,6,26,4,-13,123,20,36,-6,-8,,,,,,,,,,,,,,,,,,,,,,,,,,
062450_4..S06R::1404446400.0,,,,,,,,,,,3431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071650_4..S06R::1404446400.0,-1,9,39,22,10,12,-7,18,14,-2,191,19,13,11,7,-5,-7,3,13,4,9,17,-8,38,23,-27,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,
069200_4..S06R::1404446400.0,,,,,,,,,,,-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072450_4..S06R::1404446400.0,21,-56,9,11,20,60,2,-8,11,-78,161,2,3,8,16,-1,10,16,-5,13,21,-95,7,16,29,10,-8,11,,,,,,,,,,,,,,,,,,,,,,,,,,
073250_4..S06R::1404446400.0,11,-24,5,18,41,25,5,16,-12,-8,251,-8,5,21,4,6,8,15,3,10,41,7,12,1,-35,1,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,
074050_4..S06R::1404446400.0,24,3,21,32,31,-5,11,18,13,0,161,18,1,8,6,-5,12,12,16,3,32,25,-7,14,19,4,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,
074850_4..S06R::1404446400.0,0,-56,-6,21,9,-8,6,3,-4,7,11,2,16,15,9,9,11,-7,2,2,48,-57,10,26,20,-5,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,
075650_4..S06R::1404446400.0,29,3,28,18,48,1,34,24,23,-3,-19,7,6,14,31,-2,-4,16,13,16,20,4,17,20,-1,-6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
076450_4..S06R::1404446400.0,14,8,39,12,37,3,20,-3,5,-15,11,38,1,0,6,-8,-7,-7,14,15,4,10,-10,16,-4,11,-6,14,,,,,,,,,,,,,,,,,,,,,,,,,,
077250_4..S06R::1404446400.0,5,8,2,-4,142,10,22,-5,17,-10,-19,-11,4,122,8,-37,5,15,-8,6,141,-84,2,23,-9,20,-7,16,,,,,,,,,,,,,,,,,,,,,,,,,,
078050_4..S06R::1404446400.0,-8,8,22,23,20,1,36,12,17,-38,11,33,5,-5,22,0,5,12,17,23,-7,28,-7,13,14,8,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,
078850_4..S06R::1404446400.0,22,-3,16,26,26,3,173,-10,-14,9,-19,17,-5,15,9,6,0,6,3,-1,-19,21,14,8,14,1,-15,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
079650_4..S06R::1404446400.0,3,3,3,15,20,-4,9,-11,4,-7,-49,9,10,2,12,-9,-12,-6,14,-1,99,-74,-14,41,-14,146,-12,13,,,,,,,,,,,,,,,,,,,,,,,,,,
070850_4..S::1404446400.0,,-156,54,,,,,,,,,,,,,,,,,,,,,,,,,341,-3,431,6,,,,,,,,,,,,,,,,,,,,,,,
080450_4..S06R::1404446400.0,15,-7,25,16,19,-4,21,-16,18,16,-109,1,10,16,25,-4,9,14,10,15,21,23,-21,24,18,18,25,-26,,,,,,,,,,,,,,,,,,,,,,,,,,
081250_4..S06R::1404446400.0,-36,-3,1,30,36,15,1,15,21,12,-19,14,19,22,22,-2,1,16,-18,24,32,-3,9,35,-1,23,-5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
082050_4..S06R::1404446400.0,25,1,9,34,44,17,34,23,-6,27,-19,4,5,-3,9,5,-4,19,17,28,37,-71,-4,10,25,12,-7,10,,,,,,,,,,,,,,,,,,,,,,,,,,
082850_4..S06R::1404446400.0,24,-35,19,14,30,27,-5,-2,4,10,-19,29,-7,6,8,11,6,-6,-2,3,35,-2,3,15,18,17,-2,26,,,,,,,,,,,,,,,,,,,,,,,,,,
