,204N,205N,208N,213N,216N,220N,225N,120N,132N,229N,234N,236N,239N,247N,215N,242N,227N,228N,233N,214N,212N,224N,246N,207N,219N,241N,232N,201N,137N,245N,211N,128N,238N,218N,222N,206N,231N,244N,226N,235N,210N,237N,217N,243N,127N,230N,209N,221N,123N,423N,420N,419N,418N,640N,635N,631N,629N,626N,621N,136N,135N,134N,133N,131N,130N,129N,126N,125N,124N,122N,121N,257N,256N,255N,254N,253N,252N,251N,250N,249N,248N
081100_2..N01X033::1404619200.0,2,5,-5,11,,,,,,,,,,,,,,,,,-15,,,-11,,,,49,,,6,,,,,1,,,,,18,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082150_2..N01X032::1404619200.0,,,,,,,14,2,-1,23,13,25,72,-19,,-12,15,-4,-7,,,29,21,,,18,19,,-9,22,,48,25,,46,,20,19,23,3,,-3,,18,30,21,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082300_2..N01X033::1404619200.0,19,-13,2,161,,,,,,,,,,,,,,,,,9,,,-5,,,,45,,,0,,,,,10,,,,,-14,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083350_2..N01X032::1404619200.0,,,,,,,27,24,10,26,11,-29,22,-19,,-5,31,25,5,,,25,14,,,-3,6,,16,-10,,37,8,,37,,3,-7,2,8,,18,,-9,26,11,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083500_2..N01X033::1404619200.0,14,-6,12,-19,,,,,,,,,,,,,,,,,-5,,,26,,,,62,,,4,,,,,-6,,,,,9,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084550_2..N01X032::1404619200.0,,,,,,,2,19,20,25,26,15,-12,-49,,-3,26,6,4,,,12,30,,,-3,6,,29,14,,47,8,,46,,8,17,6,33,,18,,-61,23,8,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084700_2..N01X033::1404619200.0,14,-18,3,-19,,,,,,,,,,,,,,,,,-12,,,-5,,,,52,,,8,,,,,8,,,,,-9,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085750_2..N01X032::1404619200.0,,,,,,,-5,2,-10,11,6,7,43,-79,,-7,21,21,-3,,,13,-19,,,-2,5,,23,11,,19,-5,,32,,12,12,2,-2,,2,,-60,33,22,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085900_2..N01X033::1404619200.0,29,18,16,-289,,,,,,,,,,,,,,,,,8,,,7,,,,53,,,-4,,,,,19,,,,,7,,,,,,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086950_2..N01X032::1404619200.0,,,,,,,-4,20,2,-1,30,11,29,-19,,-6,30,-21,3,,,14,14,,,-5,13,,11,11,,28,-4,,37,,21,17,12,-2,,4,,-11,10,10,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087100_2..N01X033::1404619200.0,25,-8,-12,11,,,,,,,,,,,,,,,,,-4,,,10,,,,66,,,-13,,,,,22,,,,,2,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088150_2..N01X032::1404619200.0,,,,,,,10,25,3,18,16,11,7,-19,,2,2,16,4,,,29,4,,,12,14,,19,12,,32,5,,36,,11,-12,12,3,,-23,,-7,48,-8,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088300_2..N01X033::1404619200.0,-18,-15,20,-79,,,,,,,,,,,,,,,,,1,,,0,,,,52,,,-8,,,,,-21,,,,,6,,,,,,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089350_2..N01X032::1404619200.0,,,,,,,13,17,16,1,4,14,36,-19,,7,7,30,12,,,21,10,,,4,10,,16,-13,,12,-1,,48,,8,12,-14,0,,8,,5,25,15,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089500_2..N01X033::1404619200.0,6,5,-16,-109,,,,,,,,,,,,,,,,,-7,,,-15,,,,53,,,-76,,,,,0,,,,,-4,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090550_2..N01X032::1404619200.0,,,,,,,18,9,-8,18,26,-5,8,41,,7,7,11,14,,,8,5,,,13,19,,2,-14,,-6,-1,,39,,23,-7,21,13,,-4,,-3,25,-1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090700_2..N01X033::1404619200.0,21,-6,8,11,,,,,,,,,,,,,,,,,5,,,25,,,,62,,,-8,,,,,-8,,,,,3,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091750_2..N01X032::1404619200.0,,,,,,,14,52,-6,-12,57,-9,12,-49,,5,-7,-1,8,,,5,0,,,12,-8,,-35,11,,3,9,,35,,-3,-11,14,14,,16,,-6,-1,22,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091900_2..N01X033::1404619200.0,35,-22,7,-109,,,,,,,,,,,,,,,,,6,,,-5,,,,52,,,-5,,,,,3,,,,,-1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092950_2..N01X032::1404619200.0,,,,,,,6,4,17,2,16,1,9,-49,,-17,26,10,9,,,-6,21,,,15,13,,7,18,,19,8,,41,,21,17,9,11,,18,,9,62,16,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093100_2..N01X033::1404619200.0,18,-28,-12,-79,,,,,,,,,,,,,,,,,14,,,-17,,,,54,,,-5,,,,,-8,,,,,10,,,,,,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094150_2..N01X032::1404619200.0,,,,,,,-2,24,19,2,30,10,17,-19,,-1,22,8,17,,,15,-63,,,5,21,,6,0,,15,7,,54,,-4,1,-35,28,,4,,-8,16,10,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094300_2..N01X033::1404619200.0,11,-8,14,-109,,,,,,,,,,,,,,,,,3,,,3,,,,66,,,-9,,,,,17,,,,,3,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095350_2..N01X032::1404619200.0,,,,,,,6,12,-34,6,25,3,14,-19,,3,9,13,25,,,13,13,,,7,27,,12,-5,,4,10,,41,,-3,-3,12,18,,-6,,-7,45,-15,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095500_2..N01X033::1404619200.0,27,3,11,-109,,,,,,,,,,,,,,,,,13,,,23,,,,69,,,-1,,,,,-2,,,,,11,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096550_2..N01X032::1404619200.0,,,,,,,-9,18,14,5,110,11,9,-49,,9,-2,-33,-13,,,14,5,,,14,27,,9,-13,,12,10,,29,,4,-7,-13,3,,-5,,2,22,10,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096700_2..N01X033::1404619200.0,-23,6,11,-109,,,,,,,,,,,,,,,,,-21,,,10,,,,55,,,3,,,,,-3,,,,,-10,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097750_2..N01X032::1404619200.0,,,,,,,-3,24,3,55,19,1,5,-19,,5,32,19,-1,,,8,5,,,5,61,,14,7,,56,-5,,42,,1,1,7,15,,-2,,1,48,13,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097900_2..N01X033::1404619200.0,-4,-4,16,-49,,,,,,,,,,,,,,,,,3,,,9,,,,55,,,-34,,,,,-8,,,,,4,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098950_2..N01X032::1404619200.0,,,,,,,-33,-5,22,19,86,8,18,-49,,0,18,22,7,,,20,11,,,6,11,,-7,23,,-17,14,,33,,17,-10,1,20,,-5,,-6,37,-3,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099100_2..N01X033::1404619200.0,35,2,-4,11,,,,,,,,,,,,,,,,,8,,,-12,,,,44,,,0,,,,,0,,,,,12,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100150_2..N01X032::1404619200.0,,,,,,,22,27,5,1,16,-8,31,-19,,2,18,28,8,,,20,-8,,,3,12,,8,-4,,8,3,,45,,6,-7,-5,10,,1,,-2,-8,7,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100300_2..N01X033::1404619200.0,14,-9,-6,-49,,,,,,,,,,,,,,,,,10,,,12,,,,43,,,-8,,,,,-9,,,,,4,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101350_2..N01X032::1404619200.0,,,,,,,4,7,32,31,15,-6,36,-19,,5,21,26,0,,,20,6,,,5,25,,17,9,,12,-1,,63,,21,7,5,-20,,-2,,5,54,-2,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101500_2..N01X033::1404619200.0,-17,-12,14,-79,,,,,,,,,,,,,,,,,-7,,,6,,,,54,,,5,,,,,16,,,,,13,,,,,,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102550_2..N01X032::1404619200.0,,,,,,,18,9,6,18,18,-1,14,-19,,-27,5,6,5,,,31,16,,,6,11,,30,-6,,33,9,,65,,13,-5,20,13,,20,,-2,7,-3,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102700_2..N01X033::1404619200.0,18,-12,5,-79,,,,,,,,,,,,,,,,,-10,,,1,,,,51,,,10,,,,,13,,,,,-5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103750_2..N01X032::1404619200.0,,,,,,,22,56,14,0,18,-8,37,11,,12,26,6,-1,,,7,2,,,13,8,,0,11,,36,19,,39,,5,15,3,9,,18,,-23,58,16,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103900_2..N01X033::1404619200.0,25,-1,-1,-79,,,,,,,,,,,,,,,,,4,,,17,,,,68,,,17,,,,,-3,,,,,-34,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104950_2..N01X032::1404619200.0,,,,,,,4,9,-104,12,25,5,72,-49,,-14,10,-96,-3,,,9,16,,,-3,8,,-2,-10,,2,15,,63,,-11,-3,2,-8,,-1,,9,20,14,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105100_2..N01X033::1404619200.0,5,3,13,-19,,,,,,,,,,,,,,,,,-16,,,-17,,,,66,,,4,,,,,-1,,,,,-7,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106150_2..N01X032::1404619200.0,,,,,,,4,17,72,7,-4,-5,-11,11,,-12,0,12,17,,,16,4,,,16,-7,,13,2,,27,13,,40,,4,6,13,14,,26,,11,37,17,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106300_2..N01X033::1404619200.0,9,9,-8,-109,,,,,,,,,,,,,,,,,7,,,-9,,,,42,,,-7,,,,,8,,,,,6,,,,,,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107350_2..N01X032::1404619200.0,,,,,,,6,6,25,0,4,3,-8,-49,,8,22,6,0,,,22,-73,,,13,4,,8,-4,,17,21,,29,,2,-2,6,-7,,-28,,1,39,8,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107500_2..N01X033::1404619200.0,-8,-8,15,-79,,,,,,,,,,,,,,,,,-16,,,10,,,,49,,,2,,,,,-36,,,,,13,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108550_2..N01X032::1404619200.0,,,,,,,13,41,17,15,31,18,37,-79,,-6,23,22,5,,,19,1,,,16,33,,12,-28,,32,27,,43,,2,-1,21,3,,28,,-5,40,38,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108700_2..N01X033::1404619200.0,24,-4,4,-19,,,,,,,,,,,,,,,,,14,,,16,,,,62,,,-5,,,,,-6,,,,,3,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109750_2..N01X032::1404619200.0,,,,,,,19,1,-7,14,98,8,17,-49,,2,15,-6,-8,,,5,13,,,7,0,,-3,14,,56,19,,60,,9,-11,27,-2,,-3,,-5,20,21,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109900_2..N01X033::1404619200.0,5,5,-7,-49,,,,,,,,,,,,,,,,,7,,,-13,,,,62,,,-2,,,,,-2,,,,,10,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110950_2..N01X032::1404619200.0,,,,,,,22,12,6,3,53,-37,30,-49,,-3,23,7,-2,,,11,15,,,-3,-25,,9,15,,60,-37,,46,,9,-12,-4,8,,6,,-8,7,20,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111100_2..N01X033::1404619200.0,17,-8,21,-49,,,,,,,,,,,,,,,,,-2,,,13,,,,60,,,9,,,,,-11,,,,,14,,,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112150_2..N01X032::1404619200.0,,,,,,,,,,,,,,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112300_2..N01X033::1404619200.0,24,-6,-35,41,,,,,,,,,,,,,,,,,-53,,,7,,,,51,,,8,,,,,-11,,,,,-12,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113350_2..N01X032::1404619200.0,,,,,,,,26,-117,0,115,-10,21,-109,,4,-12,26,-5,,,,-37,,,1,-2,,-6,-21,,19,6,,,,0,-12,-14,12,,14,,-5,29,15,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113500_2..N01X033::1404619200.0,5,5,-1,-49,,,,,,,,,,,,,,,,,-14,,,-13,,,,60,,,6,,,,,2,,,,,-11,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114550_2..N01X032::1404619200.0,,,,,,,11,7,22,14,61,-1,32,-19,,6,31,59,-11,,,-2,7,,,6,-4,,-3,-14,,17,3,,26,,9,-9,9,19,,17,,-2,-21,-35,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114700_2..N01X033::1404619200.0,22,-8,-8,-79,,,,,,,,,,,,,,,,,-9,,,-5,,,,56,,,-17,,,,,13,,,,,0,,,,,,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115850_2..N01X032::1404619200.0,,,,,,,13,22,-6,4,19,-8,16,-19,,3,6,9,9,,,24,-3,,,6,14,,3,1,,23,13,,44,,22,0,20,7,,16,,1,22,-60,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115900_2..N01X033::1404619200.0,6,8,-7,-79,,,,,,,,,,,,,,,,,7,,,-7,,,,64,,,-4,,,,,7,,,,,8,,,,,,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113750_2..N01X032::1404619200.0,,,,,,,-1,12,9,-5,142,-14,12,-79,,-7,15,9,2,,,16,-19,,,3,15,,-14,-6,,-20,13,,88,,1,2,3,13,,4,,-16,12,-4,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117100_2..N01X033::1404619200.0,15,-12,5,-19,,,,,,,,,,,,,,,,,-12,,,1,,,,69,,,8,,,,,14,,,,,-10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117150_2..N01X032::1404619200.0,,,,,,,13,5,18,1,10,9,26,-19,,9,-36,19,4,,,20,-19,,,-11,12,,14,-7,,23,-8,,49,,16,-3,12,-4,,-27,,2,34,9,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118300_2..N01X033::1404619200.0,33,15,-12,-49,,,,,,,,,,,,,,,,,1,,,9,,,,47,,,-18,,,,,17,,,,,18,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118350_2..N01X032::1404619200.0,,,,,,,24,32,30,29,5,2,65,71,,9,35,28,12,,,35,-85,,,19,14,,15,2,,54,16,,36,,5,5,5,11,,10,,8,24,11,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119500_2..N01X033::1404619200.0,70,12,12,-49,,,,,,,,,,,,,,,,,3,,,1,,,,50,,,-11,,,,,9,,,,,3,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119550_2..N01X032::1404619200.0,,,,,,,15,22,-74,28,11,18,4,-49,,7,8,0,15,,,-1,17,,,11,16,,6,-6,,18,-3,,31,,-7,0,23,4,,9,,3,36,9,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120700_2..N01X033::1404619200.0,20,-11,10,-19,,,,,,,,,,,,,,,,,-4,,,4,,,,41,,,-13,,,,,17,,,,,-1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120750_2..N01X032::1404619200.0,,,,,,,4,3,25,-9,,5,24,-49,,-2,13,2,-10,,,-9,-5,,,5,3,,6,9,,13,-7,,34,,15,17,2,56,,-1,,-10,25,3,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113350_2..N::1404619200.0,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121900_2..N01X033::1404619200.0,-3,4,-17,-49,,,,,,,,,,,,,,,,,-11,,,12,,,,38,,,-21,,,,,-2,,,,,-5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121950_2..N01X032::1404619200.0,,,,,,,47,7,14,31,23,2,10,-19,,-17,19,28,-1,,,5,3,,,17,32,,11,3,,42,2,,36,,0,-25,-7,17,,-24,,9,11,16,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123100_2..N01X033::1404619200.0,34,18,3,-289,,,,,,,,,,,,,,,,,-8,,,18,,,,71,,,-27,,,,,-32,,,,,-26,,,,,,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123150_2..N01X032::1404619200.0,,,,,,,2,24,6,15,19,-3,32,-49,,-6,5,24,-5,,,17,-1,,,-7,-1,,25,-10,,29,20,,28,,3,-8,14,8,,27,,-9,23,75,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124300_2..N01X033::1404619200.0,0,-17,-7,-19,,,,,,,,,,,,,,,,,4,,,-6,,,,58,,,-10,,,,,6,,,,,4,,,,,,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124350_2..N01X032::1404619200.0,,,,,,,8,28,3,8,61,6,15,-49,,9,8,15,4,,,24,-4,,,12,-21,,9,1,,27,4,,45,,6,1,16,22,,6,,6,31,21,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125500_2..N01X033::1404619200.0,26,3,3,11,,,,,,,,,,,,,,,,,-6,,,-5,,,,64,,,-8,,,,,3,,,,,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125550_2..N01X032::1404619200.0,,,,,,,15,24,45,-34,-2,5,26,-19,,-5,12,2,-7,,,22,1,,,2,29,,19,7,,13,17,,7,,18,12,21,-9,,12,,-14,31,13,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126700_2..N01X033::1404619200.0,2,11,15,-19,,,,,,,,,,,,,,,,,17,,,-2,,,,46,,,-1,,,,,10,,,,,9,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126750_2..N01R::1404619200.0,,-56,6,74,7,13,-33,8,-6,8,13,27,32,-49,18,-7,12,20,-1,10,-11,-9,13,14,16,2,9,,44,-7,5,24,4,11,29,-34,14,1,-2,-37,12,13,21,11,28,16,14,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127900_2..N01X033::1404619200.0,22,9,14,11,,,,,,,,,,,,,,,,,-9,,,0,,,,46,,,6,,,,,11,,,,,8,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127950_2..N01R::1404619200.0,11,-13,-56,16,3,17,15,18,21,-1,28,18,24,11,14,17,3,4,8,-2,-5,-1,7,10,-11,19,9,55,5,12,-20,15,16,3,17,-12,17,12,15,28,16,15,20,14,52,13,-32,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129100_2..N01X033::1404619200.0,18,-16,-4,11,,,,,,,,,,,,,,,,,-6,,,-10,,,,55,,,-13,,,,,6,,,,,3,,,,,,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129150_2..N01R::1404619200.0,23,-3,-12,159,9,9,0,12,13,4,6,5,28,-19,-5,-16,10,-8,2,13,12,20,14,11,8,22,9,59,23,-6,-2,7,8,-5,13,-5,-10,1,-1,-7,7,-6,-10,7,21,8,-14,-5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130300_2..N01X033::1404619200.0,1,-11,19,-49,,,,,,,,,,,,,,,,,9,,,-7,,,,53,,,-9,,,,,-33,,,,,-7,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130350_2..N01R::1404619200.0,15,18,16,27,19,-19,-11,31,58,13,-15,-7,31,-19,24,-12,11,10,3,1,-7,5,2,9,-22,24,5,62,8,9,6,10,-5,-11,11,19,4,9,-8,8,12,-4,8,13,33,25,17,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131500_2..N01X033::1404619200.0,31,2,-26,-79,,,,,,,,,,,,,,,,,-19,,,-6,,,,63,,,-10,,,,,0,,,,,0,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131550_2..N01R::1404619200.0,9,8,11,138,7,2,19,33,18,34,17,14,14,11,20,-35,-21,-3,-2,-3,4,31,5,-10,4,2,4,59,-5,-37,-10,33,4,-4,39,-27,10,-10,-9,4,1,40,15,-3,-13,13,9,-1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132750_2..N01R::1404619200.0,23,-1,2,117,-2,-1,10,11,25,-12,5,4,18,-19,16,-13,19,-28,9,27,6,24,15,22,2,15,16,59,2,-6,-7,-4,15,18,96,-2,-36,1,11,-7,1,-6,6,9,20,-7,8,0,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133950_2..N01R::1404619200.0,30,13,6,35,3,8,-3,6,9,-2,18,-30,27,-19,6,15,20,29,0,33,-35,9,12,13,5,16,2,64,20,17,8,4,20,18,33,17,-22,17,4,10,9,-6,30,17,27,-18,11,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135200_2..N01R::1404619200.0,,-17,16,24,0,-2,-5,28,-2,14,24,-27,19,-19,-12,2,9,-2,12,1,8,15,17,-2,2,-21,19,,0,21,-4,4,-9,-11,31,10,2,-10,19,-8,8,-3,14,-4,21,22,-15,-23,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136400_2..N01R::1404619200.0,,,,-84,13,14,28,16,9,27,17,13,31,11,-3,4,37,22,14,7,,5,21,,14,7,22,,21,-10,,30,-10,1,37,,-3,-54,5,4,,2,-7,-37,46,8,,15,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137600_2..N01R::1404619200.0,,,,,,-92,0,7,0,-13,40,11,10,-19,,2,21,7,14,,,19,7,,,3,23,,6,-12,,-6,-4,,2,,13,-7,2,2,,5,,-5,20,-3,,11,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138850_2..N01R::1404619200.0,,,,,,,,20,9,-1,8,6,28,-19,,3,-65,8,-11,,,,-7,,,3,22,,5,5,,13,-7,,,,-14,-17,,-38,,-2,,-6,31,7,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126750_2..N::1404619200.0,,821,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140200_2..N01R::1404619200.0,,,,,,,,,-205,2,-75,-12,17,251,,-21,,30,-2,,,,-10,,,13,1,,-6,1,,,-10,,,,9,-6,,5,,3,,1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142150_2..N01R::1404619200.0,,,,,,,,,,,,-82,33,161,,-17,,,,,,,8,,,-7,,,,-11,,,0,,,,,-1,,,,-1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143150_2..N08R::1404619200.0,,,,,,,,,,,,,,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145150_2..N08R::1404619200.0,,,,,,,,,,,,,,-709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147150_2..N08R::1404619200.0,,,,,,,,,,,,,,-1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145150_2..N08R::1404705600.0,26,-1,27,12,26,5,4,22,13,20,-59,-26,35,-49,-1,-8,-2,22,16,11,10,16,18,0,12,-6,20,44,18,23,-5,21,16,0,29,3,-27,17,15,23,-2,-5,25,21,49,-3,1,1,27,,,,,,,,,,,17,7,-12,0,-3,-3,4,-5,15,18,-12,-4,,,,,,,,,,
147150_2..N08R::1404705600.0,14,10,-11,28,2,-10,-6,71,-5,-20,54,4,20,-49,-10,-17,-4,5,3,5,7,-9,-21,-15,-4,0,-8,37,18,-33,-36,13,-9,-14,17,2,4,-17,-8,32,5,-13,12,-1,31,69,-17,5,13,,,,,,,,,,,6,,-8,10,-32,-12,-11,-17,-16,1,-16,1,,,,,,,,,,
135200_2..N01R::1404705600.0,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136400_2..N01R::1404705600.0,1,8,18,23,,,,,,,,,,,,,,,,,-6,,,5,,,,48,,,9,,,,,16,,,,,12,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137600_2..N01R::1404705600.0,10,16,12,24,6,19,,,,,,,,,-11,,,,,5,16,,,0,9,,,55,,,-3,,,-3,,12,,,,,3,,-13,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138850_2..N01R::1404705600.0,17,-1,-26,14,11,-5,1,,,,,,,,-1,,10,,,17,-6,-9,,-10,2,,,65,,,12,,,-7,21,0,,,-1,,-5,,-10,,,,4,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140200_2..N01R::1404705600.0,-20,-12,17,194,15,19,25,8,13,,,,,,-6,,22,,,7,-9,25,,17,-35,,,65,,,-2,8,,9,-6,22,,,2,,4,,-1,,51,,0,-6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142150_2..N01R::1404705600.0,21,0,25,85,6,14,27,36,10,-4,-69,-8,,,-13,,25,27,10,26,11,31,,3,11,,317,59,18,,-6,-22,,-36,39,7,22,,5,12,0,,39,,3,5,0,7,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143150_2..N08R::1404705600.0,,,,,,,,,,,,,,941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
