,204N,205N,208N,213N,216N,220N,225N,120N,132N,229N,234N,236N,239N,247N,215N,242N,227N,228N,233N,214N,212N,224N,246N,207N,219N,241N,232N,201N,137N,245N,211N,128N,238N,218N,222N,206N,231N,244N,226N,235N,210N,237N,217N,243N,127N,230N,209N,221N,123N,423N,420N,419N,418N,640N,635N,631N,629N,626N,621N,136N,135N,134N,133N,131N,130N,129N,126N,125N,124N,122N,121N,257N,256N,255N,254N,253N,252N,251N,250N,249N,248N
128500_2..N01R::1404360000.0,,,-74,37,7,21,53,71,13,-2,29,357,23,11,11,11,28,13,19,18,-1,61,20,-77,13,14,-7,,8,16,7,424,14,17,43,,3,7,26,19,4,19,29,8,38,8,1,8,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129500_2..N01R::1404360000.0,41,-8,218,56,13,12,11,-34,0,22,34,-9,39,-49,-6,-11,148,19,7,5,-9,-8,-10,-4,8,-4,6,76,18,0,-1,33,23,-11,7,-6,9,7,1,13,10,40,6,-18,4,12,-15,-2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130500_2..N01R::1404360000.0,,,,-74,-11,38,-4,4,19,-50,12,3,19,-49,-114,2,11,12,-2,1,-93,3,5,,5,-17,13,,45,-8,,12,-8,-13,-18,,-1,61,7,-3,,13,-54,-12,42,-2,,1,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125700_2..N::1404360000.0,-17,-7,18,45,15,19,,,,,,,,,-7,,,,,22,17,,,-5,14,,,68,,,-6,,,-8,561,4,,,,,-5,,10,,,,-6,23,,261,3,15,28,28,-3,-2,12,24,49,,,,,,,,,,,,,,,,,,,,,,
131550_2..N01R::1404360000.0,,,,-74,17,7,3,31,19,12,33,21,20,71,-36,0,28,11,2,23,,37,9,,8,34,3,,9,-11,,18,13,-10,20,,1,-8,6,11,,32,8,-5,4,20,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126500_2..N::1404360000.0,979,3,24,24,-1,-32,,,,,44,,,,4,,,,,21,-2,,,19,19,,,45,,,-14,,,0,531,-28,,,,,0,,15,,,,-3,0,,70,39,15,24,24,12,19,14,18,23,,,,,,,,,,,,,,,,,,,,,,
132550_2..N01R::1404360000.0,,,,,,,,,,,,,,-679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127500_2..N::1404360000.0,1252,443,8,5,4,20,,,,,11,,,,5,,,,,12,-1,,,13,-12,,,70,,,12,,,6,771,-9,,,,,6,,21,,,,13,11,,56,25,9,28,9,32,47,5,23,31,,,,,,,,,,,,,,,,,,,,,,
133550_2..N01R::1404360000.0,-163,-5,11,154,15,-26,14,20,4,24,27,1,31,-49,12,5,-1,12,19,10,9,10,-10,26,-1,2,18,,24,-1,8,29,51,6,23,-2,16,59,31,98,-1,16,21,3,10,11,-2,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134500_2..N01R::1404360000.0,,,,,,,,,,,,,,-859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135500_2..N01R::1404360000.0,,,14,38,7,-5,-1,19,-2,4,12,-4,32,-19,-7,2,-15,-9,-7,9,4,19,2,-64,0,11,5,,-2,12,-7,8,3,-12,-6,,-12,79,-37,49,6,17,11,-9,98,10,-14,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136650_2..N01R::1404360000.0,,,,,,,,,,,,,,-1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137850_2..N01R::1404360000.0,,,,,,,9,8,18,-4,-70,-6,15,-199,,12,7,-1,-5,,,14,-9,,,13,1,,1,3,,20,6,,-168,,-5,215,12,11,,-13,,5,34,4,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139050_2..N01R::1404360000.0,,,,,,,,,21,8,13,4,8,161,,-11,,31,18,,,,20,,,9,18,,18,12,,9,2,,,,14,-15,,16,,16,,15,16,26,,,-198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140250_2..N01R::1404360000.0,,,,,,,,,-35,0,5,1,1,161,,-8,,18,-6,,,,-8,,,-3,-1,,14,1,,,3,,,,13,-23,,-10,,-10,,15,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138050_2..N01R::1404360000.0,,,,,,,,36,16,8,18,3,5,71,,-14,27,8,1,,,,0,,,21,-26,,0,9,,6,-4,,,,11,8,-44,14,,-12,,14,24,26,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141400_2..N01R::1404360000.0,,,,,,,,,,,5,14,39,-79,,14,,,21,,,,14,,,74,22,,,12,,,21,,,,-31,3,,-3,,24,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142600_2..N01R::1404360000.0,,,,,,,,,,,,,-87,191,,-6,,,,,,,-12,,,-8,,,,0,,,,,,,,7,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139650_2..N01R::1404360000.0,,,,,,,,,-2,29,26,-5,14,11,,1,,5,8,,,,-73,,,61,1,,14,0,,-85,19,,,,-2,1,,1,,5,,0,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144200_2..N01R::1404360000.0,,,,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142050_2..N01R::1404360000.0,,,,,,,,,,,-86,8,24,-19,,6,,,,,,,15,,,4,,,,-7,,,19,,,,,-3,,-4,,9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001100_2..N01R::1404360000.0,,,,,,,,,,,,,,-679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144200_2..N01R::1404446400.0,-196,1,-4,33,9,14,17,-3,11,16,11,13,37,11,-6,-61,6,-5,11,10,2,-26,7,-12,17,-6,16,69,-8,10,15,15,-3,0,223,-1,-9,10,19,-34,-7,-25,16,-16,1,-2,-2,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001100_2..N01R::1404446400.0,358,4,19,68,-2,0,9,10,11,17,-2,0,33,41,12,13,-1,7,-7,25,-10,29,8,267,4,-9,30,21,13,-13,6,-2,-4,-9,9,7,14,-6,14,13,15,0,14,4,23,5,-10,138,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133550_2..N01R::1404446400.0,947,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135500_2..N01R::1404446400.0,-283,16,,,,,,,,,,,,,,,,,,,,,,2,,,,48,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137850_2..N01R::1404446400.0,-343,-12,-7,35,-10,-2,,,,,,,,,-24,,,,,34,-1,,,7,-1,,,56,,,9,,,-42,30,1151,,,,,17,,11,,,,-8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139050_2..N01R::1404446400.0,41,-1,25,39,4,22,-8,-7,,,,,,,8,,-2,,,6,2,-1,,-3,12,,,72,,,4,,,-7,8,3,,,-1,,10,,9,,,,163,12,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140250_2..N01R::1404446400.0,-111,417,-1,23,13,-9,-9,17,29,,,,,,19,,21,,,10,4,13,,17,-8,,,40,,,-12,19,,7,29,-31,,,0,,-2,,-4,,3,,0,18,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141400_2..N01R::1404446400.0,-79,126,-19,17,13,-3,4,43,-4,0,,,,,19,,29,-2,,51,-6,15,,-2,-6,,,57,-4,,-25,24,,11,12,7,-7,,8,,5,,-1,,-20,-12,14,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142600_2..N01R::1404446400.0,357,148,8,11,17,18,-6,17,-7,-28,-35,-4,13,,2,,7,-20,11,17,-23,8,,-7,-9,,17,46,-3,,-6,23,7,7,10,3,-7,,-6,-16,6,15,1,,11,10,14,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138050_2..N01R::1404446400.0,-326,-7,361,99,-33,19,13,,,,,,,,26,,,,,12,-5,-5,,8,22,,,32,,,7,,,16,3,8,,,25,,458,,22,,,,27,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139650_2..N01R::1404446400.0,-260,-16,22,38,-2,19,12,3,,,,,,,5,,-22,,,4,17,27,,-26,17,,,59,,,0,85,,1,7,-27,,,20,,5,,16,,26,,6,24,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142050_2..N01R::1404446400.0,-217,352,10,25,24,5,-12,1,10,13,1,,,,-10,,4,19,12,-29,6,1,,-6,8,,-18,64,17,,22,-12,,-8,21,3,-12,,-12,,12,,9,,31,24,17,0,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003100_2..N01R::1404446400.0,-339,-21,2,42,13,-7,16,27,13,7,13,10,28,-19,-35,-9,4,7,-3,-8,-23,9,8,-8,-7,14,-27,31,39,12,-6,33,-9,12,8,-26,7,13,14,2,4,15,0,19,10,18,-21,-3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007100_2..N01R::1404446400.0,-348,15,-8,89,20,0,-1,8,10,11,2,17,22,71,3,2,14,21,-7,14,1,11,17,7,3,37,0,60,129,-6,14,23,15,15,35,14,2,-4,2,4,-10,13,6,-1,7,24,-6,-3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005100_2..N01R::1404446400.0,-286,12,3,20,4,3,-2,-5,24,-13,-7,-22,37,-19,-70,8,3,2,-18,12,-21,18,-10,-10,8,33,18,46,43,5,-26,4,-61,-3,-4,5,-6,-18,-7,6,-16,-9,20,-5,-1,-9,-36,-5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009100_2..N01R::1404446400.0,-360,2,-11,13,-12,16,14,-2,-37,23,16,14,14,-19,4,9,-3,-8,-43,19,-7,5,8,10,16,83,26,43,115,4,7,28,-2,-1,17,18,-5,112,16,3,-17,18,-7,2,18,3,-11,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011100_2..N01R::1404446400.0,-339,0,15,46,0,-5,15,12,5,22,-36,1,9,-19,12,-34,1,-1,9,22,-33,-3,-11,-5,-34,-7,8,57,62,-11,11,17,7,12,11,2,-13,-7,17,19,17,-8,0,-4,85,-1,-10,-5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
