,239S,234S,640S,501S,416S,217S,250S,502S,418S,218S,235S,621S,219S,503S,419S,220S,420S,626S,504S,221S,423S,505S,222S,213S,629S,631S,214S,635S,215S,216S,236S,237S,238S,241S,242S,243S,244S,245S,246S,247S,225S,226S,227S,120S,123S,127S,128S,132S,137S,228S,229S,230S,231S,232S,204S,205S,206S,207S,208S,209S,210S,211S,212S,233S
089600_5..S21R::1404705600.0,15,31,27,,23,-1,-7,,2,20,8,34,22,,34,10,4,5,,9,-3,,44,71,-5,27,-4,67,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089900_5..S03R::1404705600.0,18,-10,4,-19,-4,22,,20,10,11,2,16,22,12,25,-9,48,53,8,20,17,6,38,6,-28,32,-4,32,-24,-8,,,,-5,2,-3,-49,0,8,68,,,,,,,,,,,,,,,,,,,,,,,,
090350_5..S12R::1404705600.0,,,6,,-5,-28,,,18,16,,26,-4,,-3,-7,9,25,,13,,,30,131,38,76,13,65,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090350_5..S07R::1404705600.0,34,41,35,-79,19,19,10,6,56,9,-1,18,23,-3,32,14,3,10,25,25,35,13,26,16,19,39,21,23,21,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091000_5..S03R::1404705600.0,23,70,20,-19,31,11,,0,11,1,3,4,-12,-3,141,-6,19,-1,1,12,19,5,81,11,13,28,24,19,3,-2,,,,20,-65,2,0,-2,-19,54,,,,,,,,,,,,,,,,,,,,,,,,
091350_5..S07R::1404705600.0,15,32,35,-49,-45,4,5,5,49,-8,6,38,33,22,27,31,31,44,15,23,30,14,46,25,5,44,31,34,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091700_5..S12R::1404705600.0,,,16,,-6,7,,,22,-5,,18,11,,25,10,,16,,0,,,44,71,16,21,14,30,-4,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091900_5..S03R::1404705600.0,-1,43,11,11,18,31,,12,82,-12,21,37,8,9,10,11,9,-2,10,27,44,17,21,27,-7,31,12,50,15,7,,,,20,-7,-6,16,17,1,56,,,,,,,,,,,,,,,,,,,,,,,,
092450_5..S03R::1404705600.0,36,-20,23,-19,-3,27,,19,29,10,11,33,-5,18,31,-35,-1,8,15,39,43,5,33,21,10,29,19,38,-2,-9,,,,1,18,22,-53,-1,73,50,,,,,,,,,,,,,,,,,,,,,,,,
093150_5..S03R::1404705600.0,46,30,23,-19,21,16,,19,36,-5,3,33,4,34,-3,5,24,11,21,20,-15,16,35,-21,40,58,22,47,-32,14,,,,14,10,4,19,7,101,41,,,,,,,,,,,,,,,,,,,,,,,,
093600_5..S03R::1404705600.0,30,31,21,11,-58,16,,5,24,7,13,4,-9,-1,-7,-4,22,26,-3,23,5,25,25,29,32,28,61,23,6,18,,,,9,26,-9,18,14,51,32,,,,,,,,,,,,,,,,,,,,,,,,
094650_5..S03R::1404705600.0,34,32,8,-19,24,14,,26,32,4,8,43,14,14,32,14,13,25,32,33,19,23,26,26,6,36,48,16,2,18,,,,17,16,10,2,-4,1,39,,,,,,,,,,,,,,,,,,,,,,,,
095000_5..S03R::1404705600.0,22,26,8,11,18,16,,9,24,9,3,25,-4,-6,4,1,30,12,27,0,20,1,30,2,-9,20,3,26,14,9,,,,17,18,-10,13,10,24,53,,,,,,,,,,,,,,,,,,,,,,,,
095400_5..S21R::1404705600.0,35,26,18,,-6,10,18,,41,21,32,8,17,,38,11,20,25,,0,22,,54,-139,15,45,28,26,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096000_5..S07R::1404705600.0,50,5,8,-19,-8,-3,19,22,14,-10,28,17,1,19,16,4,12,4,21,5,25,21,32,10,29,20,17,17,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096600_5..S03R::1404705600.0,41,66,19,-19,7,-20,,-6,21,-6,36,31,-1,18,7,13,11,7,18,24,46,20,29,19,2,21,15,22,13,15,,,,7,25,-8,19,15,-7,52,,,,,,,,,,,,,,,,,,,,,,,,
096750_5..S02R::1404705600.0,45,28,14,,23,-22,,,4,-47,107,5,6,,18,5,48,7,,44,25,,21,11,40,79,8,34,16,8,,,,6,9,12,761,-27,-74,41,,,,,,,,,,,,,,,,,,,,,,,,
096950_5..S03R::1404705600.0,10,34,13,-19,5,-18,,11,27,26,-4,26,-12,4,71,2,27,25,-1,11,1,-2,34,8,-2,15,15,35,-9,-4,,,,13,-8,23,7,-83,3,55,,,,,,,,,,,,,,,,,,,,,,,,
097350_5..S02R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,,,281,,,371,,-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097550_5..S03R::1404705600.0,10,79,25,41,-23,-20,,10,59,-16,40,33,17,9,62,11,16,-21,10,9,69,16,33,38,13,20,9,45,-75,9,,,,13,-11,-8,16,11,-4,58,,,,,,,,,,,,,,,,,,,,,,,,
098150_5..S03R::1404705600.0,8,45,21,-19,20,21,,20,35,2,25,8,11,16,28,11,28,5,18,81,125,-7,25,-22,8,24,18,27,-26,-76,,,,29,18,18,-26,23,-3,60,,,,,,,,,,,,,,,,,,,,,,,,
