,239S,234S,640S,501S,416S,217S,250S,502S,418S,218S,235S,621S,219S,503S,419S,220S,420S,626S,504S,221S,423S,505S,222S,213S,629S,631S,214S,635S,215S,216S,236S,237S,238S,241S,242S,243S,244S,245S,246S,247S,225S,226S,227S,120S,123S,127S,128S,132S,137S,228S,229S,230S,231S,232S,204S,205S,206S,207S,208S,209S,210S,211S,212S,233S
131700_5..S08R::1404446400.0,,,19,-109,3,15,,4,55,5,,-1,-11,-2,26,-7,16,-13,27,-1,,0,46,7,-2,51,1,45,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132900_5..S08R::1404446400.0,,,15,-49,19,9,,20,-4,2,,3,14,15,16,13,18,10,15,7,,15,15,3,16,33,-4,16,-27,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134100_5..S08R::1404446400.0,,,50,131,14,4,,12,24,-4,,8,12,6,-16,13,-34,13,-2,-1,,3,41,-2,19,39,-6,26,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135300_5..S08R::1404446400.0,,,14,41,-15,25,,-16,26,12,,96,20,4,0,8,6,8,3,23,,7,51,23,20,26,20,20,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136500_5..S01R::1404446400.0,,,,-79,,,,21,,,,,,11,,,,,6,,,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137900_5..S01R::1404446400.0,,,,-19,,,,13,,,,,,24,,,,,35,,,25,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139100_5..S01R::1404446400.0,,,,-79,,,,14,,,,,,12,,,,,15,,,21,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140500_5..S01R::1404446400.0,,,,131,,,,23,,,,,,18,,,,,23,,,-3,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142200_5..S32R::1404446400.0,,,,401,,,,13,,,,,,24,,,,,-12,,,14,,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000200_5..S32R::1404532800.0,,,,251,,,,1,,,,,,-32,,,,,-1,,,-9,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002200_5..S32R::1404532800.0,,,,-709,,,,84941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142200_5..S32R::1404532800.0,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004200_5..S32R::1404532800.0,,,,-1639,,,,-7,,,,,,-15,,,,,-15,,,-15,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006200_5..S32R::1404532800.0,,,,-2239,,,,-13,,,,,,-25,,,,,60,,,-10,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008200_5..S32R::1404532800.0,,,,5501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010200_5..S32R::1404532800.0,,,,4301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012200_5..S32R::1404532800.0,,,,6701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014200_5..S32R::1404532800.0,,,,5501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016200_5..S32R::1404532800.0,,,,4301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018200_5..S32R::1404532800.0,,,,41,,,,26,,,,,,22,,,,,27,,,-5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200_5..S32R::1404532800.0,,,,101,,,,14,,,,,,12,,,,,47,,,12,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022200_5..S32X001::1404532800.0,,,,41,,,,26,,,,,,18,,,,,22,,,17,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024200_5..S32X001::1404532800.0,,,,-19,,,,34,,,,,,-4,,,,,32,,,27,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026200_5..S32X001::1404532800.0,,,,41,,,,-14,,,,,,-12,,,,,-1,,,8,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028200_5..S32X001::1404532800.0,,,,11,,,,20,,,,,,21,,,,,27,,,-2,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030000_5..S32X001::1404532800.0,,,,41,,,,16,,,,,,12,,,,,13,,,7,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030950_5..S01X006::1404532800.0,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032800_5..S01X006::1404532800.0,,,,131,,,,9,,,,,,2,,,,,28,,,-2,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034700_5..S01X006::1404532800.0,,,,-139,,,,17,,,,,,10,,,,,10,,,11,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030900_5..S01X006::1404532800.0,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036400_5..S01X006::1404532800.0,,,,101,,,,10,,,,,,8,,,,,10,,,12,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037600_5..S01X006::1404532800.0,,,,11,,,,-4,,,,,,19,,,,,17,,,18,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038800_5..S01X006::1404532800.0,,,,11,,,,4,,,,,,-1,,,,,-1,,,1,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040000_5..S01X006::1404532800.0,,,,41,,,,8,,,,,,7,,,,,12,,,19,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041200_5..S01X006::1404532800.0,,,,-19,,,,23,,,,,,13,,,,,9,,,10,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041900_5..S01X006::1404532800.0,,,,161,,,,1,,,,,,-2,,,,,-2,,,5,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043100_5..S01X006::1404532800.0,,,,-79,,,,3,,,,,,3,,,,,6,,,12,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044300_5..S01X006::1404532800.0,,,,-19,,,,11,,,,,,10,,,,,13,,,17,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045500_5..S01X006::1404532800.0,,,,-49,,,,16,,,,,,5,,,,,31,,,0,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046700_5..S01X006::1404532800.0,,,,11,,,,12,,,,,,14,,,,,17,,,23,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047900_5..S01X006::1404532800.0,,,,101,,,,21,,,,,,16,,,,,-20,,,15,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049100_5..S01X006::1404532800.0,,,,-19,,,,17,,,,,,-13,,,,,22,,,-14,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050300_5..S01X006::1404532800.0,,,,-49,,,,15,,,,,,5,,,,,32,,,28,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051500_5..S01X006::1404532800.0,,,,11,,,,16,,,,,,15,,,,,14,,,17,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052700_5..S01X006::1404532800.0,,,,11,,,,11,,,,,,3,,,,,35,,,0,,-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053900_5..S01X006::1404532800.0,,,,-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055100_5..S01X006::1404532800.0,,,,-919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056300_5..S01X006::1404532800.0,,,,-1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058700_5..S01X006::1404532800.0,,,,,,,,-8,,,,,,-7,,,,,28,,,4,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059900_5..S01X006::1404532800.0,,,,-49,,,,19,,,,,,13,,,,,11,,,17,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061100_5..S01X006::1404532800.0,,,,-49,,,,-1,,,,,,20,,,,,21,,,14,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062300_5..S01X006::1404532800.0,,,,11,,,,5,,,,,,4,,,,,7,,,10,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063500_5..S01X006::1404532800.0,,,,161,,,,4,,,,,,2,,,,,8,,,13,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064700_5..S01X006::1404532800.0,,,,101,,,,25,,,,,,13,,,,,12,,,13,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065900_5..S01X006::1404532800.0,,,,-19,,,,18,,,,,,16,,,,,16,,,19,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067100_5..S01X006::1404532800.0,,,,11,,,,-14,,,,,,23,,,,,22,,,20,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068300_5..S01X006::1404532800.0,,,,11,,,,18,,,,,,16,,,,,19,,,-7,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069500_5..S01X006::1404532800.0,,,,41,,,,8,,,,,,29,,,,,23,,,20,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070700_5..S01X006::1404532800.0,,,,-19,,,,-2,,,,,,20,,,,,13,,,12,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071900_5..S01X006::1404532800.0,,,,-19,,,,5,,,,,,-27,,,,,3,,,6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073100_5..S01X006::1404532800.0,,,,-49,,,,9,,,,,,9,,,,,11,,,17,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074300_5..S01X006::1404532800.0,,,,-49,,,,17,,,,,,4,,,,,30,,,-2,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075500_5..S01X006::1404532800.0,,,,-49,,,,23,,,,,,19,,,,,19,,,-3,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076700_5..S01X006::1404532800.0,,,,71,,,,26,,,,,,17,,,,,19,,,18,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077900_5..S01X006::1404532800.0,,,,-19,,,,23,,,,,,19,,,,,21,,,-19,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079100_5..S01X006::1404532800.0,,,,-19,,,,29,,,,,,18,,,,,16,,,12,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080300_5..S01X006::1404532800.0,,,,-139,,,,-1,,,,,,23,,,,,19,,,20,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081500_5..S01X006::1404532800.0,,,,-19,,,,-1,,,,,,-3,,,,,1,,,4,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082700_5..S01X006::1404532800.0,,,,-19,,,,-1,,,,,,-2,,,,,6,,,10,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083900_5..S01X006::1404532800.0,,,,-49,,,,12,,,,,,53,,,,,16,,,10,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085100_5..S01X006::1404532800.0,,,,-19,,,,11,,,,,,10,,,,,12,,,16,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086300_5..S01X006::1404532800.0,,,,-19,,,,-4,,,,,,-4,,,,,1,,,5,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087500_5..S01X006::1404532800.0,,,,-49,,,,32,,,,,,17,,,,,17,,,-10,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088700_5..S01X006::1404532800.0,,,,-49,,,,21,,,,,,13,,,,,34,,,1,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089900_5..S01X006::1404532800.0,,,,-19,,,,21,,,,,,20,,,,,18,,,19,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091100_5..S01X006::1404532800.0,,,,101,,,,5,,,,,,-3,,,,,27,,,22,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092300_5..S01X006::1404532800.0,,,,-19,,,,28,,,,,,-15,,,,,37,,,31,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093500_5..S01X006::1404532800.0,,,,-49,,,,-6,,,,,,19,,,,,-14,,,18,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094700_5..S01X006::1404532800.0,,,,-19,,,,17,,,,,,11,,,,,11,,,13,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095900_5..S01X006::1404532800.0,,,,-19,,,,-6,,,,,,24,,,,,24,,,23,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097100_5..S01X006::1404532800.0,,,,-49,,,,14,,,,,,11,,,,,13,,,14,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098300_5..S01X006::1404532800.0,,,,11,,,,17,,,,,,-16,,,,,15,,,19,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099500_5..S01X006::1404532800.0,,,,-19,,,,23,,,,,,10,,,,,30,,,29,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100700_5..S01X006::1404532800.0,,,,-19,,,,-9,,,,,,-8,,,,,-1,,,9,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101900_5..S01X006::1404532800.0,,,,-49,,,,25,,,,,,31,,,,,23,,,16,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103100_5..S01X006::1404532800.0,,,,-19,,,,-3,,,,,,22,,,,,20,,,23,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104300_5..S01X006::1404532800.0,,,,-19,,,,0,,,,,,-6,,,,,26,,,25,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105550_5..S01X006::1404532800.0,,,,-49,,,,10,,,,,,12,,,,,18,,,21,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106750_5..S01X006::1404532800.0,,,,-49,,,,-3,,,,,,23,,,,,23,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107950_5..S01X006::1404532800.0,,,,-259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109150_5..S01X006::1404532800.0,,,,-979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110350_5..S01X006::1404532800.0,,,,-1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133150_5..S01X006::1404532800.0,,,,,,,,,,,,,,,,,,,,,,18,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134350_5..S01X006::1404532800.0,,,,-49,,,,30,,,,,,13,,,,,12,,,15,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135550_5..S01X006::1404532800.0,,,,101,,,,18,,,,,,7,,,,,8,,,-16,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136700_5..S01X006::1404532800.0,,,,11,,,,8,,,,,,4,,,,,5,,,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137850_5..S01X006::1404532800.0,,,,-49,,,,-15,,,,,,30,,,,,23,,,19,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139100_5..S01X006::1404532800.0,,,,11,,,,-30,,,,,,-9,,,,,27,,,3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140500_5..S01X006::1404532800.0,,,,-19,,,,21,,,,,,11,,,,,29,,,-2,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142200_5..S32X001::1404532800.0,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000200_5..S32X001::1404532800.0,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002200_5..S32X001::1404532800.0,,,,-1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142250_5..S01X006::1404532800.0,,,,,,,,,,,,,,,,,,,71,,,16,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000200_5..S32X001::1404619200.0,,,,-49,,,,-16,,,,,,3,,,,,9,,,11,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002200_5..S32X001::1404619200.0,,,,41,,,,6,,,,,,-7,,,,,22,,,20,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002200_5..S32R::1404619200.0,,,,-1339,,,,99341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004200_5..S32X001::1404619200.0,,,,41,,,,31,,,,,,-9,,,,,30,,,4,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006200_5..S32X001::1404619200.0,,,,101,,,,12,,,,,,4,,,,,32,,,-3,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008200_5..S32X001::1404619200.0,,,,-19,,,,19,,,,,,-6,,,,,5,,,11,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010200_5..S32X001::1404619200.0,,,,11,,,,63,,,,,,10,,,,,35,,,29,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012200_5..S32X001::1404619200.0,,,,11,,,,13,,,,,,13,,,,,10,,,18,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014200_5..S32X001::1404619200.0,,,,11,,,,19,,,,,,7,,,,,35,,,4,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016200_5..S32X001::1404619200.0,,,,-49,,,,-3,,,,,,-4,,,,,31,,,0,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018200_5..S32X001::1404619200.0,,,,-19,,,,26,,,,,,17,,,,,15,,,9,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200_5..S32X001::1404619200.0,,,,-19,,,,28,,,,,,-6,,,,,30,,,0,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022200_5..S32X001::1404619200.0,,,,41,,,,-14,,,,,,-24,,,,,36,,,27,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024200_5..S32X001::1404619200.0,,,,-19,,,,17,,,,,,14,,,,,15,,,14,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026200_5..S32X001::1404619200.0,,,,11,,,,4,,,,,,28,,,,,53,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028200_5..S32X001::1404619200.0,,,,-19,,,,7,,,,,,7,,,,,14,,,13,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030200_5..S32X001::1404619200.0,,,,11,,,,29,,,,,,16,,,,,11,,,2,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032200_5..S32X001::1404619200.0,,,,-49,,,,-2,,,,,,-2,,,,,27,,,0,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034200_5..S32X001::1404619200.0,,,,11,,,,12,,,,,,1,,,,,26,,,18,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036200_5..S32X001::1404619200.0,,,,101,,,,4,,,,,,-2,,,,,8,,,7,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037900_5..S01X006::1404619200.0,,,,-49,,,,20,,,,,,12,,,,,10,,,13,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039900_5..S01X006::1404619200.0,,,,41,,,,7,,,,,,2,,,,,4,,,9,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041900_5..S01X006::1404619200.0,,,,-19,,,,-5,,,,,,20,,,,,21,,,-5,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043900_5..S01X006::1404619200.0,,,,-49,,,,-13,,,,,,10,,,,,12,,,14,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045400_5..S01X006::1404619200.0,,,,101,,,,22,,,,,,21,,,,,25,,,-1,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046700_5..S01X006::1404619200.0,,,,-19,,,,24,,,,,,15,,,,,15,,,14,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047900_5..S01X006::1404619200.0,,,,-19,,,,8,,,,,,10,,,,,19,,,-4,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049050_5..S01X006::1404619200.0,,,,-49,,,,-3,,,,,,22,,,,,23,,,-4,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050250_5..S01X006::1404619200.0,,,,-79,,,,15,,,,,,34,,,,,23,,,23,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051450_5..S01X006::1404619200.0,,,,-79,,,,12,,,,,,5,,,,,6,,,10,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052650_5..S01X006::1404619200.0,,,,11,,,,9,,,,,,8,,,,,8,,,13,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053850_5..S01X006::1404619200.0,,,,-49,,,,18,,,,,,14,,,,,11,,,9,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055050_5..S01X006::1404619200.0,,,,11,,,,7,,,,,,-18,,,,,28,,,-4,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056250_5..S01X006::1404619200.0,,,,-79,,,,-10,,,,,,-17,,,,,13,,,17,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057450_5..S01X006::1404619200.0,,,,-79,,,,-5,,,,,,27,,,,,22,,,-1,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058650_5..S01X006::1404619200.0,,,,-79,,,,15,,,,,,10,,,,,8,,,13,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059850_5..S01X006::1404619200.0,,,,-49,,,,8,,,,,,8,,,,,12,,,17,,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061050_5..S01X006::1404619200.0,,,,11,,,,-23,,,,,,-1,,,,,0,,,3,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062250_5..S01X006::1404619200.0,,,,-49,,,,-22,,,,,,3,,,,,6,,,10,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063450_5..S01X006::1404619200.0,,,,-49,,,,16,,,,,,13,,,,,15,,,20,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064650_5..S01X006::1404619200.0,,,,-19,,,,20,,,,,,17,,,,,20,,,16,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065850_5..S01X006::1404619200.0,,,,-19,,,,4,,,,,,24,,,,,18,,,11,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067050_5..S01X006::1404619200.0,,,,-79,,,,6,,,,,,2,,,,,28,,,0,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068250_5..S01X006::1404619200.0,,,,-19,,,,14,,,,,,2,,,,,4,,,5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069450_5..S01X006::1404619200.0,,,,-19,,,,9,,,,,,10,,,,,4,,,12,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070650_5..S01X006::1404619200.0,,,,11,,,,4,,,,,,-3,,,,,25,,,-2,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071850_5..S01X006::1404619200.0,,,,-79,,,,0,,,,,,-3,,,,,30,,,2,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073050_5..S01X006::1404619200.0,,,,11,,,,7,,,,,,2,,,,,1,,,4,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074250_5..S01X006::1404619200.0,,,,-109,,,,7,,,,,,-1,,,,,29,,,-2,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075450_5..S01X006::1404619200.0,,,,-49,,,,2,,,,,,-4,,,,,26,,,-1,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076650_5..S01X006::1404619200.0,,,,71,,,,5,,,,,,4,,,,,27,,,27,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077850_5..S01X006::1404619200.0,,,,131,,,,11,,,,,,9,,,,,9,,,16,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079050_5..S01X006::1404619200.0,,,,-79,,,,-1,,,,,,25,,,,,-8,,,-5,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
