,255S,249S,239S,232S,229S,128S,123S,224S,301S,248S,256S,233S,250S,132S,127S,225S,257S,234S,230S,251S,226S,231S,137S,235S,227S,252S,120S,236S,237S,253S,302S,228S,254S,238S
002300_3..S42R::1404360000.0,,,,,,,,,-1399,,,,,,,,,,,,,,,,,,,,,,,,,
000300_3..S42R::1404446400.0,,,,,,,-220,-20,-199,,,,,,14,-19,,,,,-56,,,,-10,,-10,,,,-5,,,
002300_3..S42R::1404446400.0,,,,,,,-202,9,-1399,,,,,,17,7,,,,,11,,,,8,,26,,,,0,,,
138250_3..S01R::1404446400.0,-1,,,,,,,,,,45,,23,,,,53,,,4,,,,,,13,,,,-10,,,-24,
142650_3..S42R::1404446400.0,,,,,,,-276,,,,,,,,42,,,,,,,,,,,,,,,,,,,
004300_3..S42R::1404446400.0,,,,,,,-222,15,41,,,,,,19,-17,,,,,-11,,,,-12,,-19,,,,0,,,
006300_3..S42R::1404446400.0,,,,,,,-218,4,11,,,,,,35,-35,,,,,-1,,,,-48,,29,,,,-15,,,
008300_3..S42R::1404446400.0,,,,,,,-212,-7,41,,,,,,43,-5,,,,,-11,,,,-8,,-6,,,,0,,,
010300_3..S42R::1404446400.0,,,,,,,-220,-8,-19,,,,,,38,-7,,,,,3,,,,-22,,-12,,,,0,,,
012300_3..S42R::1404446400.0,,,,,,,-196,3,41,,,,,,16,5,,,,,-59,,,,-11,,12,,,,-21,,,
014300_3..S42R::1404446400.0,,,,,,,-217,2,-19,,,,,,20,2,,,,,8,,,,7,,-3,,,,-20,,,
016300_3..S42R::1404446400.0,,,,,,,-190,12,11,,,,,,18,1,,,,,2,,,,23,,13,,,,-4,,,
018300_3..S42R::1404446400.0,,,,,,,-201,-91,-49,,,,,,34,-22,,,,,-12,,,,-8,,60,,,,7,,,
020300_3..S42R::1404446400.0,,,,,,,-214,10,-19,,,,,,16,-17,,,,,-5,,,,0,,13,,,,-5,,,
022300_3..S42R::1404446400.0,,,,,,,-202,0,11,,,,,,43,2,,,,,-19,,,,-17,,59,,,,3,,,
024300_3..S42R::1404446400.0,,,,,,,-226,-65,-19,,,,,,33,-17,,,,,-12,,,,-14,,3,,,,1,,,
026300_3..S42R::1404446400.0,,,,,,,-199,-6,221,,,,,,31,16,,,,,-13,,,,12,,9,,,,3,,,
028300_3..S42R::1404446400.0,,,,,,,-183,9,11,,,,,,21,11,,,,,-20,,,,-15,,-3,,,,1,,,
030300_3..S42R::1404446400.0,,,,,,,-201,-5,-19,,,,,,35,-3,,,,,3,,,,-26,,17,,,,6,,,
032100_3..S01R::1404446400.0,-10,11,19,-9,-4,8,11,-13,-19,9,-16,-2,11,-2,60,-12,14,27,13,-14,-4,-9,-37,-15,-4,-24,9,2,1,4,3,23,11,2
